Timestamp : 13|01_01:04
Mois,Lapins vivants,Nombre de lapin juvéniles morts au total,Nombre de lapin enfant mort au total,Nombre de lapin adulte mort au total,Total de lapins morts,Nombre de naissance par mois,Nombre de lapin juvéniles morts par mois,Nombre de lapin enfant mort par mois,Nombre de lapin adulte mort par mois,Nombre de lapin mort en 1 mois
1,4,0,0,0,0,0,0,0,0,0
2,9,4,0,0,4,9,4,0,0,4
3,9,4,0,0,4,0,0,0,0,0
4,9,10,1,0,11,7,6,1,0,7
5,9,10,1,0,11,0,0,0,0,0
6,9,20,2,0,22,11,10,1,0,11
7,7,20,3,1,24,0,0,1,1,2
8,14,29,3,1,33,16,9,0,0,9
9,14,29,3,1,33,0,0,0,0,0
10,19,44,4,1,49,21,15,1,0,16
11,19,44,4,1,49,0,0,0,0,0
12,24,54,4,1,59,15,10,0,0,10
13,23,54,5,1,60,0,0,1,0,1
14,28,70,5,2,77,22,16,0,1,17
15,28,74,7,2,83,6,4,2,0,6
16,29,98,8,3,109,27,24,1,1,26
17,32,106,8,3,117,11,8,0,0,8
18,34,127,9,3,139,24,21,1,0,22
19,37,143,9,3,155,19,16,0,0,16
20,37,153,10,3,166,11,10,1,0,11
21,40,181,10,4,195,32,28,0,1,29
22,37,194,13,4,211,13,13,3,0,16
23,46,220,13,4,237,35,26,0,0,26
24,44,234,15,6,255,16,14,2,2,18
25,59,267,15,6,288,48,33,0,0,33
26,61,276,15,6,297,11,9,0,0,9
27,73,327,16,6,349,64,51,1,0,52
28,74,341,20,6,367,19,14,4,0,18
29,86,394,21,6,421,66,53,1,0,54
30,86,409,22,6,437,16,15,1,0,16
31,89,477,26,8,511,77,68,4,2,74
32,89,506,28,12,546,35,29,2,4,35
33,102,564,31,12,607,74,58,3,0,61
34,104,591,34,14,639,34,27,3,2,32
35,119,677,34,14,725,101,86,0,0,86
36,124,698,36,14,748,28,21,2,0,23
37,137,795,40,17,852,117,97,4,3,104
38,141,822,43,18,883,35,27,3,1,31
39,157,936,50,18,1004,137,114,7,0,121
40,160,980,52,20,1052,51,44,2,2,48
41,175,1112,54,24,1190,153,132,2,4,138
42,180,1160,56,24,1240,55,48,2,0,50
43,201,1321,61,26,1408,189,161,5,2,168
44,210,1373,66,28,1467,68,52,5,2,59
45,251,1540,67,30,1637,211,167,1,2,170
46,261,1602,72,34,1708,81,62,5,4,71
47,292,1765,83,37,1885,208,163,11,3,177
48,309,1843,87,44,1974,106,78,4,7,89
49,341,2000,95,48,2143,201,157,8,4,169
50,353,2102,102,50,2254,123,102,7,2,111
51,378,2266,112,58,2436,207,164,10,8,182
52,406,2407,120,65,2592,184,141,8,7,156
53,452,2612,129,67,2808,262,205,9,2,216
54,484,2780,138,70,2988,212,168,9,3,180
