Timestamp : 13|01_00:58
Mois,Lapins vivants,Nombre de lapin juvéniles morts au total,Nombre de lapin enfant mort au total,Nombre de lapin adulte mort au total,Total de lapins morts,Nombre de naissance par mois,Nombre de lapin juvéniles morts par mois,Nombre de lapin enfant mort par mois,Nombre de lapin adulte mort par mois,Nombre de lapin mort en 1 mois
1,4,0,0,0,0,0,0,0,0,0
2,6,5,0,0,5,7,5,0,0,5
3,6,5,0,0,5,0,0,0,0,0
4,9,11,0,0,11,9,6,0,0,6
5,9,11,0,0,11,0,0,0,0,0
6,11,17,0,0,17,8,6,0,0,6
7,11,17,0,0,17,0,0,0,0,0
8,12,24,0,0,24,8,7,0,0,7
9,12,24,0,0,24,0,0,0,0,0
10,14,31,0,0,31,9,7,0,0,7
11,14,31,0,0,31,0,0,0,0,0
12,16,38,0,1,39,10,7,0,1,8
13,16,38,0,1,39,0,0,0,0,0
14,19,44,0,1,45,9,6,0,0,6
15,19,46,1,1,48,3,2,1,0,3
16,19,50,2,1,53,5,4,1,0,5
17,19,53,2,2,57,4,3,0,1,4
18,20,57,2,2,61,5,4,0,0,4
19,21,64,3,2,69,9,7,1,0,8
20,24,65,3,3,71,5,1,0,1,2
21,23,74,5,3,82,10,9,2,0,11
22,23,83,5,3,91,9,9,0,0,9
23,24,92,7,3,102,12,9,2,0,11
24,26,97,7,3,107,7,5,0,0,5
25,27,109,7,4,120,14,12,0,1,13
26,29,117,7,4,128,10,8,0,0,8
27,31,132,7,4,143,17,15,0,0,15
28,31,136,8,4,148,5,4,1,0,5
29,35,148,8,4,160,16,12,0,0,12
30,33,151,9,6,166,4,3,1,2,6
31,37,170,9,6,185,23,19,0,0,19
32,37,174,10,7,191,6,4,1,1,6
33,47,190,10,7,207,26,16,0,0,16
34,46,194,11,8,213,5,4,1,1,6
35,50,212,12,8,232,23,18,1,0,19
36,52,216,13,8,237,7,4,1,0,5
37,55,240,14,8,262,28,24,1,0,25
38,56,253,14,8,275,14,13,0,0,13
39,61,278,15,10,303,33,25,1,2,28
40,64,290,16,10,316,16,12,1,0,13
41,70,325,17,10,352,42,35,1,0,36
42,72,342,19,11,372,22,17,2,1,20
43,81,384,20,13,417,54,42,1,2,45
44,87,404,22,15,441,30,20,2,2,24
45,92,448,23,18,489,53,44,1,3,48
46,97,469,24,19,512,28,21,1,1,23
47,100,518,28,19,565,56,49,4,0,53
48,99,539,30,19,588,22,21,2,0,23
49,111,602,31,19,652,76,63,1,0,64
50,117,621,32,21,674,28,19,1,2,22
51,129,694,34,24,752,90,73,2,3,78
52,137,747,35,26,808,64,53,1,2,56
53,150,845,37,26,908,113,98,2,0,100
54,162,907,40,26,973,77,62,3,0,65
