Timestamp : 13|01_01:14
Mois,Lapins vivants,Nombre de lapin juvéniles morts au total,Nombre de lapin enfant mort au total,Nombre de lapin adulte mort au total,Total de lapins morts,Nombre de naissance par mois,Nombre de lapin juvéniles morts par mois,Nombre de lapin enfant mort par mois,Nombre de lapin adulte mort par mois,Nombre de lapin mort en 1 mois
1,4,0,0,0,0,0,0,0,0,0
2,7,5,0,1,6,9,5,0,1,6
3,7,5,0,1,6,0,0,0,0,0
4,8,14,0,1,15,10,9,0,0,9
5,8,14,0,1,15,0,0,0,0,0
6,9,20,0,1,21,7,6,0,0,6
7,9,20,0,1,21,0,0,0,0,0
8,11,26,1,1,28,9,6,1,0,7
9,12,30,1,1,32,5,4,0,0,4
10,13,44,1,1,46,15,14,0,0,14
11,15,46,3,1,50,6,2,2,0,4
12,21,55,3,1,59,15,9,0,0,9
13,20,59,4,2,65,5,4,1,1,6
14,21,71,4,2,77,13,12,0,0,12
15,21,76,4,2,82,5,5,0,0,5
16,23,89,6,2,97,17,13,2,0,15
17,26,96,8,2,106,12,7,2,0,9
18,32,118,8,2,128,28,22,0,0,22
19,32,133,10,2,145,17,15,2,0,17
20,38,160,10,4,174,35,27,0,2,29
21,37,183,11,5,199,24,23,1,1,25
22,39,207,11,8,226,29,24,0,3,27
23,40,220,11,8,239,14,13,0,0,13
24,44,249,14,8,271,36,29,3,0,32
25,48,266,14,9,289,22,17,0,1,18
26,53,297,15,9,321,37,31,1,0,32
27,62,318,15,9,342,30,21,0,0,21
28,66,352,16,10,378,40,34,1,1,36
29,71,380,18,10,408,35,28,2,0,30
30,78,423,19,10,452,51,43,1,0,44
31,83,464,20,10,494,47,41,1,0,42
32,98,492,20,10,522,43,28,0,0,28
33,109,532,21,11,564,53,40,1,1,42
34,119,589,22,11,622,68,57,1,0,58
35,131,636,25,12,673,63,47,3,1,51
36,139,692,30,12,734,69,56,5,0,61
37,150,733,32,13,778,55,41,2,1,44
38,160,828,38,15,881,113,95,6,2,103
39,163,872,43,18,933,55,44,5,3,52
40,182,968,50,19,1037,123,96,7,1,104
41,185,1049,55,22,1126,92,81,5,3,89
42,208,1166,58,24,1248,145,117,3,2,122
43,224,1261,63,27,1351,119,95,5,3,103
44,249,1386,70,29,1485,159,125,7,2,134
45,259,1473,77,32,1582,107,87,7,3,97
46,282,1643,82,34,1759,200,170,5,2,177
47,298,1744,84,35,1863,120,101,2,1,104
48,325,1909,93,40,2042,206,165,9,5,179
49,347,2037,101,44,2182,162,128,8,4,140
50,382,2250,114,45,2409,262,213,13,1,227
51,427,2452,121,47,2620,256,202,7,2,211
52,458,2673,133,49,2855,266,221,12,2,235
53,504,2863,143,51,3057,248,190,10,2,202
54,543,3116,156,57,3329,311,253,13,6,272
55,589,3345,170,63,3578,295,229,14,6,249
56,638,3614,189,69,3872,343,269,19,6,294
57,686,3893,205,77,4175,351,279,16,8,303
58,755,4221,214,84,4519,413,328,9,7,344
59,801,4583,240,86,4909,436,362,26,2,390
60,870,4959,260,90,5309,469,376,20,4,400
61,957,5379,284,101,5764,542,420,24,11,455
62,1028,5841,302,115,6258,565,462,18,14,494
63,1127,6318,320,122,6760,601,477,18,7,502
64,1218,6852,342,133,7327,658,534,22,11,567
65,1321,7401,370,145,7916,692,549,28,12,589
66,1419,7981,403,164,8548,730,580,33,19,632
67,1535,8574,432,179,9185,753,593,29,15,637
68,1661,9280,458,188,9926,867,706,26,9,741
69,1762,10042,504,208,10754,929,762,46,20,828
70,1890,10839,536,232,11607,981,797,32,24,853
71,2076,11688,576,248,12512,1091,849,40,16,905
72,2258,12607,624,275,13506,1176,919,48,27,994
73,2461,13684,667,305,14656,1353,1077,43,30,1150
74,2628,14773,724,327,15824,1335,1089,57,22,1168
75,2837,15936,779,354,17069,1454,1163,55,27,1245
76,3082,17214,835,378,18427,1603,1278,56,24,1358
77,3338,18575,914,412,19901,1730,1361,79,34,1474
78,3609,20129,996,442,21567,1937,1554,82,30,1666
79,3848,21799,1078,474,23351,2023,1670,82,32,1784
80,4161,23624,1172,512,25308,2270,1825,94,38,1957
81,4494,25504,1254,564,27322,2347,1880,82,52,2014
82,4806,27548,1386,617,29551,2541,2044,132,53,2229
83,5167,29787,1514,666,31967,2777,2239,128,49,2416
84,5602,32125,1631,729,34485,2953,2338,117,63,2518
85,6050,34811,1761,789,37361,3324,2686,130,60,2876
86,6512,37684,1901,864,40449,3550,2873,140,75,3088
87,6977,40776,2045,950,43771,3787,3092,144,86,3322
88,7554,44062,2215,1016,47293,4099,3286,170,66,3522
89,8182,47578,2384,1096,51058,4393,3516,169,80,3765
90,8767,51378,2584,1192,55154,4681,3800,200,96,4096
