Timestamp : 13|01_01:07
Mois,Lapins vivants,Nombre de lapin juvéniles morts au total,Nombre de lapin enfant mort au total,Nombre de lapin adulte mort au total,Total de lapins morts,Nombre de naissance par mois,Nombre de lapin juvéniles morts par mois,Nombre de lapin enfant mort par mois,Nombre de lapin adulte mort par mois,Nombre de lapin mort en 1 mois
1,4,0,0,0,0,0,0,0,0,0
2,7,7,0,0,7,10,7,0,0,7
3,7,7,0,0,7,0,0,0,0,0
4,8,14,0,0,14,8,7,0,0,7
5,8,14,0,0,14,0,0,0,0,0
6,10,22,0,1,23,11,8,0,1,9
7,10,22,0,1,23,0,0,0,0,0
8,11,24,0,1,25,3,2,0,0,2
9,15,26,0,1,27,6,2,0,0,2
10,15,35,1,1,37,10,9,1,0,10
11,16,40,1,1,42,6,5,0,0,5
12,20,45,1,1,47,9,5,0,0,5
13,18,47,4,1,52,3,2,3,0,5
14,19,54,5,2,61,10,7,1,1,9
15,21,63,6,2,71,12,9,1,0,10
16,20,72,8,2,82,10,9,2,0,11
17,21,78,9,3,90,9,6,1,1,8
18,21,81,9,3,93,3,3,0,0,3
19,21,101,10,4,115,22,20,1,1,22
20,21,103,11,4,118,3,2,1,0,3
21,25,121,11,4,136,22,18,0,0,18
22,26,124,12,4,140,5,3,1,0,4
23,29,140,14,4,158,21,16,2,0,18
24,28,145,14,5,164,5,5,0,1,6
25,30,157,14,5,176,14,12,0,0,12
26,30,161,14,6,181,5,4,0,1,5
27,30,182,15,7,204,23,21,1,1,23
28,29,182,16,7,205,0,0,1,0,1
29,35,212,16,7,235,36,30,0,0,30
30,35,217,16,8,241,6,5,0,1,6
31,41,257,16,9,282,47,40,0,1,41
32,41,265,16,10,291,9,8,0,1,9
33,49,293,18,11,322,39,28,2,1,31
34,50,310,18,11,339,18,17,0,0,17
35,55,337,20,11,368,34,27,2,0,29
36,58,356,20,11,387,22,19,0,0,19
37,61,384,22,12,418,34,28,2,1,31
38,65,419,23,12,454,40,35,1,0,36
39,70,448,24,15,487,38,29,1,3,33
40,74,475,25,16,516,33,27,1,1,29
41,84,516,27,17,560,54,41,2,1,44
42,95,543,28,17,588,39,27,1,0,28
43,105,616,31,18,665,87,73,3,1,77
44,110,649,35,19,703,43,33,4,1,38
45,118,715,38,21,774,79,66,3,2,71
46,127,754,42,22,818,53,39,4,1,44
47,136,828,45,22,895,86,74,3,0,77
48,141,876,51,24,951,61,48,6,2,56
49,156,960,54,26,1040,104,84,3,2,89
50,176,1030,58,26,1114,94,70,4,0,74
51,192,1125,65,27,1217,119,95,7,1,103
