Timestamp : 13|01_00:57
Mois,Lapins vivants,Nombre de lapin juvéniles morts au total,Nombre de lapin enfant mort au total,Nombre de lapin adulte mort au total,Total de lapins morts,Nombre de naissance par mois,Nombre de lapin juvéniles morts par mois,Nombre de lapin enfant mort par mois,Nombre de lapin adulte mort par mois,Nombre de lapin mort en 1 mois
1,3,0,0,1,1,0,0,0,1,1
2,4,3,0,1,4,4,3,0,0,3
3,4,3,0,1,4,0,0,0,0,0
4,5,6,0,1,7,4,3,0,0,3
5,5,6,0,1,7,0,0,0,0,0
6,5,6,0,1,7,0,0,0,0,0
7,5,11,0,1,12,5,5,0,0,5
8,5,11,0,1,12,0,0,0,0,0
9,6,21,0,1,22,11,10,0,0,10
10,6,21,0,1,22,0,0,0,0,0
11,8,30,0,2,32,12,9,0,1,10
12,7,30,1,2,33,0,0,1,0,1
13,8,38,2,2,42,10,8,1,0,9
14,8,38,2,2,42,0,0,0,0,0
15,10,48,2,2,52,12,10,0,0,10
16,10,48,2,2,52,0,0,0,0,0
17,13,58,3,2,63,14,10,1,0,11
18,13,63,3,2,68,5,5,0,0,5
19,16,77,3,2,82,17,14,0,0,14
20,17,79,3,2,84,3,2,0,0,2
21,19,95,3,2,100,18,16,0,0,16
22,19,95,3,2,100,0,0,0,0,0
23,20,117,4,2,123,24,22,1,0,23
24,24,128,5,2,135,16,11,1,0,12
25,31,147,5,2,154,26,19,0,0,19
26,36,161,6,2,169,20,14,1,0,15
27,43,185,6,2,193,31,24,0,0,24
28,43,200,9,3,212,19,15,3,1,19
29,50,215,10,4,229,24,15,1,1,17
30,55,231,10,4,245,21,16,0,0,16
31,59,255,11,4,270,29,24,1,0,25
32,59,282,13,5,300,30,27,2,1,30
33,61,317,15,6,338,40,35,2,1,38
34,66,340,17,6,363,30,23,2,0,25
35,70,380,18,6,404,45,40,1,0,41
36,79,418,19,6,443,48,38,1,0,39
37,89,447,19,6,472,39,29,0,0,29
38,101,494,20,6,520,60,47,1,0,48
39,115,540,20,6,566,60,46,0,0,46
40,127,598,23,8,629,75,58,3,2,63
