Timestamp : 13|01_01:00
Mois,Lapins vivants,Nombre de lapin juvéniles morts au total,Nombre de lapin enfant mort au total,Nombre de lapin adulte mort au total,Total de lapins morts,Nombre de naissance par mois,Nombre de lapin juvéniles morts par mois,Nombre de lapin enfant mort par mois,Nombre de lapin adulte mort par mois,Nombre de lapin mort en 1 mois
1,4,0,0,0,0,0,0,0,0,0
2,4,6,0,0,6,6,6,0,0,6
3,4,6,0,0,6,0,0,0,0,0
4,5,16,0,0,16,11,10,0,0,10
5,5,16,0,0,16,0,0,0,0,0
6,6,23,0,0,23,8,7,0,0,7
7,5,23,1,0,24,0,0,1,0,1
8,7,30,1,0,31,9,7,0,0,7
9,6,30,2,0,32,0,0,1,0,1
10,7,40,2,0,42,11,10,0,0,10
11,7,40,2,0,42,0,0,0,0,0
12,8,45,2,0,47,6,5,0,0,5
13,8,45,2,0,47,0,0,0,0,0
14,7,51,4,0,55,7,6,2,0,8
15,6,51,5,0,56,0,0,1,0,1
16,7,53,6,0,59,4,2,1,0,3
17,7,53,6,0,59,0,0,0,0,0
18,7,53,6,0,59,0,0,0,0,0
19,9,61,7,0,68,11,8,1,0,9
20,7,61,9,0,70,0,0,2,0,2
21,8,71,9,0,80,11,10,0,0,10
22,7,71,10,0,81,0,0,1,0,1
23,8,79,11,0,90,10,8,1,0,9
24,8,79,11,0,90,0,0,0,0,0
25,10,86,11,0,97,9,7,0,0,7
26,10,86,11,0,97,0,0,0,0,0
27,10,94,13,0,107,10,8,2,0,10
28,10,94,13,0,107,0,0,0,0,0
29,12,110,13,0,123,18,16,0,0,16
30,12,110,13,0,123,0,0,0,0,0
31,18,123,14,0,137,20,13,1,0,14
32,18,123,14,0,137,0,0,0,0,0
33,19,136,15,0,151,15,13,1,0,14
34,18,136,16,0,152,0,0,1,0,1
35,18,149,17,1,167,15,13,1,1,15
36,17,154,17,2,173,5,5,0,1,6
37,18,167,18,2,187,15,13,1,0,14
38,18,176,18,2,196,9,9,0,0,9
39,21,197,18,2,217,24,21,0,0,21
40,23,203,18,2,223,8,6,0,0,6
41,27,221,18,2,241,22,18,0,0,18
42,33,230,18,2,250,15,9,0,0,9
43,38,259,18,2,279,34,29,0,0,29
44,39,269,19,2,290,12,10,1,0,11
45,42,294,22,3,319,32,25,3,1,29
46,44,304,24,4,332,15,10,2,1,13
47,52,333,26,4,363,39,29,2,0,31
48,55,357,27,5,389,29,24,1,1,26
49,61,387,30,5,422,39,30,3,0,33
50,68,407,33,6,446,31,20,3,1,24
51,77,448,35,7,490,53,41,2,1,44
52,75,466,38,8,512,20,18,3,1,22
53,78,506,38,11,555,46,40,0,3,43
54,81,530,40,12,582,30,24,2,1,27
55,83,573,42,13,628,48,43,2,1,46
56,87,603,44,14,661,37,30,2,1,33
57,97,658,45,14,717,66,55,1,0,56
58,113,695,46,14,755,54,37,1,0,38
59,125,756,52,15,823,80,61,6,1,68
60,139,801,55,16,872,63,45,3,1,49
61,145,853,58,19,930,64,52,3,3,58
62,152,918,61,19,998,75,65,3,0,68
63,153,971,65,24,1060,63,53,4,5,62
64,164,1055,68,26,1149,100,84,3,2,89
65,177,1127,70,27,1224,88,72,2,1,75
66,200,1228,72,29,1329,128,101,2,2,105
67,215,1324,74,32,1430,116,96,2,3,101
68,238,1435,78,35,1548,141,111,4,3,118
69,253,1529,84,38,1651,118,94,6,3,103
70,277,1665,90,40,1795,168,136,6,2,144
71,295,1778,100,41,1919,142,113,10,1,124
72,335,1910,106,44,2060,181,132,6,3,141
73,360,2059,114,46,2219,184,149,8,2,159
74,383,2240,126,49,2415,219,181,12,3,196
75,409,2410,131,54,2595,206,170,5,5,180
76,445,2594,141,58,2793,234,184,10,4,198
77,486,2785,154,60,2999,247,191,13,2,206
78,528,3035,167,65,3267,310,250,13,5,268
79,561,3291,187,66,3544,310,256,20,1,277
80,602,3626,203,71,3900,397,335,16,5,356
81,638,3899,216,77,4192,328,273,13,6,292
82,683,4204,231,90,4525,378,305,15,13,333
83,743,4513,244,98,4855,390,309,13,8,330
84,809,4884,263,108,5255,466,371,19,10,400
85,880,5273,284,114,5671,487,389,21,6,416
86,964,5699,305,125,6129,542,426,21,11,458
87,1028,6156,322,131,6609,544,457,17,6,480
88,1112,6605,348,134,7087,562,449,26,3,478
89,1204,7103,378,149,7630,635,498,30,15,543
90,1279,7638,413,166,8217,662,535,35,17,587
91,1394,8236,437,181,8854,752,598,24,15,637
92,1510,8831,477,192,9500,762,595,40,11,646
93,1654,9557,503,211,10271,915,726,26,19,771
94,1783,10233,547,221,11001,859,676,44,10,730
95,1950,11087,589,236,11912,1078,854,42,15,911
96,2096,11898,629,258,12785,1019,811,40,22,873
97,2291,12908,695,277,13880,1290,1010,66,19,1095
98,2466,13952,750,305,15007,1302,1044,55,28,1127
99,2687,15203,807,334,16344,1558,1251,57,29,1337
100,2874,16371,869,368,17608,1451,1168,62,34,1264
101,3118,17792,943,390,19125,1761,1421,74,22,1517
102,3359,19190,1020,418,20628,1744,1398,77,28,1503
103,3664,20811,1104,453,22368,2045,1621,84,35,1740
104,3922,22462,1182,502,24146,2036,1651,78,49,1778
105,4249,24413,1276,551,26240,2421,1951,94,49,2094
106,4579,26414,1381,599,28394,2484,2001,105,48,2154
107,4945,28649,1498,646,30793,2765,2235,117,47,2399
108,5337,30984,1606,703,33293,2892,2335,108,57,2500
109,5788,33595,1753,761,36109,3267,2611,147,58,2816
110,6235,36235,1892,822,38949,3287,2640,139,61,2840
111,6802,39166,2037,884,42087,3705,2931,145,62,3138
112,7372,42299,2200,949,45448,3931,3133,163,65,3361
113,7971,45808,2376,1026,49210,4361,3509,176,77,3762
114,8641,49392,2576,1106,53074,4534,3584,200,80,3864
115,9359,53493,2774,1187,57454,5098,4101,198,81,4380
116,10116,57835,2989,1292,62116,5419,4342,215,105,4662
117,10952,62674,3226,1385,67285,6005,4839,237,93,5169
118,11854,67704,3497,1503,72704,6321,5030,271,118,5419
119,12902,73298,3776,1608,78682,7026,5594,279,105,5978
120,13883,79318,4080,1758,85156,7455,6020,304,150,6474
121,15050,85876,4399,1919,92194,8205,6558,319,161,7038
122,16297,92812,4747,2063,99622,8675,6936,348,144,7428
123,17647,100342,5119,2221,107682,9410,7530,372,158,8060
124,19101,108502,5507,2404,116413,10185,8160,388,183,8731
125,20682,117336,6007,2596,125939,11107,8834,500,192,9526
126,22308,126763,6516,2791,136070,11757,9427,509,195,10131
127,24045,137348,7072,3015,147435,13102,10585,556,224,11365
128,25955,148214,7643,3263,159120,13595,10866,571,248,11685
129,28101,160227,8257,3534,172018,15044,12013,614,271,12898
130,30356,173145,8918,3836,185899,16136,12918,661,302,13881
131,32910,187429,9666,4142,201237,17892,14284,748,306,15338
132,35735,202805,10418,4453,217676,19264,15376,752,311,16439
133,38608,219576,11291,4870,235737,20934,16771,873,417,18061
134,41692,237400,12179,5277,254856,22203,17824,888,407,19119
135,45111,256547,13208,5729,275484,24047,19147,1029,452,20628
136,48927,277741,14290,6176,298207,26539,21194,1082,447,22723
137,52812,300422,15472,6719,322613,28291,22681,1182,543,24406
138,57129,325129,16780,7302,349211,30915,24707,1308,583,26598
139,61921,351626,18146,7915,377687,33268,26497,1366,613,28476
140,67139,380572,19610,8554,408736,36267,28946,1464,639,31049
141,72551,411692,21182,9236,442110,38786,31120,1572,682,33374
142,78487,445682,22910,9997,478589,42415,33990,1728,761,36479
143,85107,482274,24716,10774,517764,45795,36592,1806,777,39175
144,92237,522218,26696,11660,560574,49940,39944,1980,886,42810
145,99719,565284,28912,12615,606811,53719,43066,2216,955,46237
146,108053,611740,31349,13687,656776,58299,46456,2437,1072,49965
147,116871,662033,33947,14818,710798,62840,50293,2598,1131,54022
148,126439,716573,36775,16111,769459,68229,54540,2828,1293,58661
149,136580,774749,39887,17420,832056,72738,58176,3112,1309,62597
150,148151,838831,43224,18852,900907,80422,64082,3337,1432,68851
151,160201,907533,46716,20413,974662,85805,68702,3492,1561,73755
152,173309,982648,50583,22133,1055364,93810,75115,3867,1720,80702
153,187438,1062990,54685,23964,1141639,100404,80342,4102,1831,86275
154,202643,1150828,59224,25962,1236014,109580,87838,4539,1998,94375
155,219005,1245201,64078,28033,1337312,117660,94373,4854,2071,101298
156,237255,1348900,69301,30368,1448569,129507,103699,5223,2335,111257
157,256822,1458944,74972,32914,1566830,137828,110044,5671,2546,118261
158,278254,1579786,80957,35606,1696349,150951,120842,5985,2692,129519
159,301249,1709953,87615,38538,1836106,162752,130167,6658,2932,139757
160,326218,1850851,94793,41730,1987374,176237,140898,7178,3192,151268
161,352515,2002785,102623,45112,2150520,189443,151934,7830,3382,163146
162,381540,2168515,111140,48836,2328491,206996,165730,8517,3724,177971
163,413074,2346061,120081,52905,2519047,222090,177546,8941,4069,190556
164,447218,2538849,129972,57244,2726065,241162,192788,9891,4339,207018
165,483771,2745962,140572,62084,2948618,259106,207113,10600,4840,222553
166,523560,2971403,152197,67212,3190812,281983,225441,11625,5128,242194
167,565863,3214372,164634,72792,3451798,303289,242969,12437,5580,260986
168,612685,3479463,178199,78797,3736459,331483,265091,13565,6005,284661
169,662647,3764297,192812,85263,4042372,355875,284834,14613,6466,305913
170,717094,4074494,208832,92219,4375545,387620,310197,16020,6956,333173
171,775048,4408673,225909,99788,4734370,416779,334179,17077,7569,358825
172,838422,4772696,244464,108079,5125239,454243,364023,18555,8291,390869
173,907000,5163658,264699,117121,5545478,488817,390962,20235,9042,420239
174,981560,5587089,286416,126788,6000293,529375,423431,21717,9667,454815
175,1062045,6043434,309946,136992,6490372,570564,456345,23530,10204,490079
176,1149086,6540798,335535,148226,7024559,621228,497364,25589,11234,534187
177,1243933,7077559,362760,160395,7600714,671002,536761,27225,12169,576155
178,1346085,7658708,392727,173614,8225049,726487,581149,29967,13219,624335
179,1456122,8287623,425077,187800,8900500,785488,628915,32350,14186,675451
180,1575524,8968566,460064,203158,9631788,850690,680943,34987,15358,731288
181,1705365,9703567,497647,219722,10420936,918989,735001,37583,16564,789148
182,1846142,10501596,538599,237655,11277850,997691,798029,40952,17933,856914
183,1997709,11364015,582884,257174,12204073,1077790,862419,44285,19519,926223
184,2161887,12297875,631135,278216,13207226,1167331,933860,48251,21042,1003153
185,2339614,13306159,683241,300945,14290345,1260846,1008284,52106,22729,1083119
186,2531119,14396553,738943,325407,15460903,1362063,1090394,55702,24462,1170558
187,2738972,15578125,799135,352041,16729301,1476251,1181572,60192,26634,1268398
188,2963640,16855900,864651,381021,18101572,1596939,1277775,65516,28980,1372271
189,3206296,18238453,935806,412333,19586592,1727676,1382553,71155,31312,1485020
190,3469720,19734339,1012686,446105,21193130,1869962,1495886,76880,33772,1606538
191,3754876,21353452,1095763,482762,22931977,2024003,1619113,83077,36657,1738847
192,4063911,23105994,1185509,522475,24813978,2191036,1752542,89746,39713,1882001
