Timestamp : 13|01_01:16
Mois,Lapins vivants,Nombre de lapin juvéniles morts au total,Nombre de lapin enfant mort au total,Nombre de lapin adulte mort au total,Total de lapins morts,Nombre de naissance par mois,Nombre de lapin juvéniles morts par mois,Nombre de lapin enfant mort par mois,Nombre de lapin adulte mort par mois,Nombre de lapin mort en 1 mois
1,4,0,0,0,0,0,0,0,0,0
2,4,6,0,0,6,6,6,0,0,6
3,4,6,0,0,6,0,0,0,0,0
4,6,12,0,0,12,8,6,0,0,6
5,6,12,0,0,12,0,0,0,0,0
6,8,17,0,0,17,7,5,0,0,5
7,8,17,0,0,17,0,0,0,0,0
8,10,26,1,0,27,12,9,1,0,10
9,10,26,1,0,27,0,0,0,0,0
10,11,35,1,0,36,10,9,0,0,9
11,10,35,2,0,37,0,0,1,0,1
12,12,40,2,0,42,7,5,0,0,5
13,12,43,2,0,45,3,3,0,0,3
14,14,49,3,0,52,9,6,1,0,7
15,15,50,4,0,54,3,1,1,0,2
16,15,65,4,0,69,15,15,0,0,15
17,15,68,4,1,73,4,3,0,1,4
18,16,75,4,1,80,8,7,0,0,7
19,19,80,4,1,85,8,5,0,0,5
20,21,89,4,1,94,11,9,0,0,9
21,25,100,4,1,105,15,11,0,0,11
22,28,112,5,1,118,16,12,1,0,13
23,30,131,6,2,139,23,19,1,1,21
24,35,140,6,2,148,14,9,0,0,9
25,37,160,7,4,171,25,20,1,2,23
26,40,174,8,4,186,18,14,1,0,15
27,43,204,9,4,217,34,30,1,0,31
28,47,222,10,5,237,24,18,1,1,20
29,54,258,11,5,274,44,36,1,0,37
30,55,281,13,5,299,26,23,2,0,25
31,59,328,14,6,348,53,47,1,1,49
32,62,347,15,6,368,23,19,1,0,20
33,73,406,16,6,428,71,59,1,0,60
34,73,430,20,7,457,29,24,4,1,29
35,91,485,21,8,514,75,55,1,1,57
36,96,528,23,8,559,50,43,2,0,45
37,111,594,28,8,630,86,66,5,0,71
38,116,642,31,8,681,56,48,3,0,51
39,133,728,36,8,772,108,86,5,0,91
40,137,794,40,10,844,76,66,4,2,72
41,159,878,42,11,931,109,84,2,1,87
42,180,958,43,12,1013,103,80,1,1,82
43,205,1065,47,12,1124,136,107,4,0,111
44,224,1162,53,13,1228,123,97,6,1,104
45,245,1313,59,15,1387,180,151,6,2,159
46,256,1431,66,19,1516,140,118,7,4,129
47,287,1580,76,22,1678,193,149,10,3,162
48,315,1703,81,25,1809,159,123,5,3,131
49,341,1890,90,28,2008,225,187,9,3,199
50,361,2046,101,29,2176,188,156,11,1,168
51,419,2240,106,30,2376,258,194,5,1,200
52,449,2397,122,31,2550,204,157,16,1,174
53,501,2615,132,38,2785,287,218,10,7,235
54,539,2823,142,38,3003,256,208,10,0,218
55,582,3092,150,44,3286,326,269,8,6,283
56,632,3355,162,50,3567,331,263,12,6,281
57,678,3652,177,56,3885,364,297,15,6,318
58,740,3986,192,63,4241,418,334,15,7,356
59,791,4338,216,74,4628,438,352,24,11,387
60,877,4737,230,82,5049,507,399,14,8,421
61,954,5137,255,93,5485,513,400,25,11,436
62,1042,5608,280,103,5991,594,471,25,10,506
63,1130,6071,307,113,6491,588,463,27,10,500
64,1230,6604,342,123,7069,678,533,35,10,578
65,1329,7162,359,137,7658,688,558,17,14,589
66,1439,7804,396,150,8350,802,642,37,13,692
67,1531,8469,443,163,9075,817,665,47,13,725
68,1673,9218,476,174,9868,935,749,33,11,793
69,1781,9978,513,190,10681,921,760,37,16,813
70,1948,10819,554,208,11581,1067,841,41,18,900
71,2075,11690,609,234,12533,1079,871,55,26,952
72,2280,12654,662,247,13563,1235,964,53,13,1030
73,2482,13680,719,267,14666,1305,1026,57,20,1103
74,2705,14835,766,296,15897,1454,1155,47,29,1231
75,2892,15965,819,324,17108,1398,1130,53,28,1211
76,3137,17314,885,368,18567,1704,1349,66,44,1459
77,3368,18672,980,407,20059,1723,1358,95,39,1492
78,3640,20170,1063,439,21672,1885,1498,83,32,1613
79,3947,21766,1134,469,23369,2004,1596,71,30,1697
80,4316,23598,1228,520,25346,2346,1832,94,51,1977
81,4656,25518,1327,570,27415,2409,1920,99,50,2069
82,5011,27792,1453,614,29859,2799,2274,126,44,2444
83,5362,30022,1556,669,32247,2739,2230,103,55,2388
84,5853,32617,1683,723,35023,3267,2595,127,54,2776
85,6336,35212,1820,790,37822,3282,2595,137,67,2799
86,6843,38272,1963,876,41111,3796,3060,143,86,3289
87,7331,41289,2128,947,44364,3741,3017,165,71,3253
88,7956,44882,2319,1031,48232,4493,3593,191,84,3868
89,8609,48222,2525,1105,51852,4273,3340,206,74,3620
90,9405,52424,2721,1188,56333,5277,4202,196,83,4481
91,10128,56647,2936,1280,60863,5253,4223,215,92,4530
92,11006,61645,3146,1388,66179,6194,4998,210,108,5316
93,11828,66652,3418,1493,71563,6206,5007,272,105,5384
94,12839,72248,3685,1631,77564,7012,5596,267,138,6001
95,13846,77946,3989,1760,83695,7138,5698,304,129,6131
96,15066,84522,4301,1904,90727,8252,6576,312,144,7032
97,16277,91147,4628,2077,97852,8336,6625,327,173,7125
98,17580,98753,5040,2249,106042,9493,7606,412,172,8190
99,19002,106687,5457,2460,114604,9984,7934,417,211,8562
100,20612,115559,5914,2661,124134,11140,8872,457,201,9530
101,22287,124924,6395,2886,134205,11746,9365,481,225,10071
102,24189,135532,6900,3124,145556,13253,10608,505,238,11351
103,25982,146327,7497,3375,157199,13436,10795,597,251,11643
104,28219,158641,8078,3653,170372,15410,12314,581,278,13173
105,30406,171373,8748,3965,184086,15901,12732,670,312,13714
106,32925,185804,9463,4256,199523,17956,14431,715,291,15437
107,35607,200752,10217,4624,215593,18752,14948,754,368,16070
108,38631,217435,11079,4970,233484,20915,16683,862,346,17891
109,41879,235163,11965,5341,252469,22233,17728,886,371,18985
110,45423,254799,12951,5812,273562,24637,19636,986,471,21093
111,48997,275769,14022,6297,296088,26100,20970,1071,485,22526
112,53088,298422,15186,6838,320446,28449,22653,1164,541,24358
113,57281,322859,16491,7385,346735,30482,24437,1305,547,26289
114,61884,349636,17844,8022,375502,33370,26777,1353,637,28767
115,67026,378392,19312,8682,406386,36026,28756,1468,660,30884
116,72513,409577,20932,9388,439897,38998,31185,1620,706,33511
117,78563,443179,22695,10126,476000,42153,33602,1763,738,36103
118,84976,480054,24558,10934,515546,45959,36875,1863,808,39546
119,91945,519509,26550,11792,557851,49274,39455,1992,858,42305
120,99482,562295,28805,12796,603896,53582,42786,2255,1004,46045
121,107556,608473,31141,13855,653469,57647,46178,2336,1059,49573
122,116320,658723,33736,14983,707442,62737,50250,2595,1128,53973
123,125746,712937,36473,16262,765672,67656,54214,2737,1279,58230
124,136039,771677,39483,17632,828792,73413,58740,3010,1370,63120
125,147242,834961,42676,19020,896657,79068,63284,3193,1388,67865
126,159352,903734,46259,20572,970565,86018,68773,3583,1552,73908
127,172643,978207,50028,22181,1050416,93142,74473,3769,1609,79851
128,186830,1058782,54244,23986,1137012,100783,80575,4216,1805,86596
129,202157,1145808,58705,25863,1230376,108691,87026,4461,1877,93364
130,218980,1240644,63516,27984,1332144,118591,94836,4811,2121,101768
131,236881,1342329,68738,30221,1441288,127045,101685,5222,2237,109144
132,256299,1454004,74351,32698,1561053,139183,111675,5613,2477,119765
133,277360,1573493,80478,35394,1689365,149373,119489,6127,2696,128312
134,300018,1703392,87198,38368,1828958,162251,129899,6720,2974,139593
135,324933,1843526,94394,41615,1979535,175492,140134,7196,3247,150577
136,351282,1995542,102323,45085,2142950,189764,152016,7929,3470,163415
137,380065,2160300,110752,48703,2319755,205588,164758,8429,3618,176805
138,411672,2338156,119799,52633,2510588,222440,177856,9047,3930,190833
139,445460,2530391,129612,56915,2716918,240118,192235,9813,4282,206330
140,482134,2737676,140403,61551,2939630,259386,207285,10791,4636,222712
141,521968,2962747,151925,66602,3181274,281478,225071,11522,5051,241644
142,564786,3206121,164421,72058,3442600,304144,243374,12496,5456,261326
143,611232,3470475,177968,77889,3726332,330178,264354,13547,5831,283732
144,661612,3755809,192602,84197,4032608,356656,285334,14634,6308,306276
145,715917,4064708,208339,91084,4364131,385828,308899,15737,6887,331523
146,774778,4399250,225330,98491,4723071,417801,334542,16991,7407,358940
147,838595,4762027,243946,106577,5112550,453296,362777,18616,8086,389479
148,907467,5153920,264155,115367,5533442,489764,391893,20209,8790,420892
149,982511,5578867,285628,125020,5989515,531117,424947,21473,9653,456073
150,1063754,6036319,308642,135221,6480182,571910,457452,23014,10201,490667
151,1150705,6532821,334172,146438,7013431,620200,496502,25530,11217,533249
152,1245376,7068793,361680,158285,7588758,669998,535972,27508,11847,575327
153,1346848,7648152,391854,171349,8211355,724069,579359,30174,13064,622597
154,1458386,8277734,423933,185589,8887256,787439,629582,32079,14240,675901
155,1578160,8957114,458871,200886,9616871,849389,679380,34938,15297,729615
156,1708454,9696486,496828,217310,10410624,924047,739372,37957,16424,793753
157,1848459,10492406,537791,235433,11265630,995011,795920,40963,18123,855006
158,2000985,11357340,582434,254771,12194545,1081441,864934,44643,19338,928915
159,2165458,12290526,630083,275995,13196604,1166532,933186,47649,21224,1002059
160,2343831,13301521,682015,298778,14282314,1264083,1010995,51932,22783,1085710
161,2535616,14393783,737938,323378,15455099,1364570,1092262,55923,24600,1172785
162,2745147,15577236,798768,350073,16726077,1480509,1183453,60830,26695,1270978
163,2969682,16855519,864697,378913,18099129,1597587,1278283,65929,28840,1373052
164,3213840,18242118,936323,410666,19589107,1734136,1386599,71626,31753,1489978
165,3477261,19739320,1013115,444626,21197061,1871375,1497202,76792,33960,1607954
166,3764700,21362686,1096117,481454,22940257,2030635,1623366,83002,36828,1743196
167,4073969,23118405,1186137,521496,24826038,2195050,1755719,90020,40042,1885781
168,4407385,25021191,1283767,564592,26869550,2376928,1902786,97630,43096,2043512
169,4769098,27076596,1388803,611399,29076798,2568961,2055405,105036,46807,2207248
170,5161719,29300134,1502991,661318,31464443,2780266,2223538,114188,49919,2387645
171,5585955,31706168,1626647,715507,34048322,3008115,2406034,123656,54189,2583879
172,6045487,34313423,1760419,774183,36848025,3259235,2607255,133772,58676,2799703
173,6540768,37130591,1904980,838078,39873649,3520905,2817168,144561,63895,3025624
174,7079842,40184483,2060961,906683,43152127,3817552,3053892,155981,68605,3278478
175,7659418,43483489,2230609,981538,46695636,4123085,3299006,169648,74855,3543509
176,8289285,47060358,2413742,1062482,50536582,4470813,3576869,183133,80944,3840946
177,8968572,50923084,2612608,1149736,54685428,4828133,3862726,198866,87254,4148846
178,9707152,55109628,2826983,1244372,59180983,5234135,4186544,214375,94636,4495555
179,10503518,59631020,3059489,1346876,64037385,5652768,4521392,232506,102504,4856402
180,11368416,64533255,3310386,1457542,69301183,6128696,4902235,250897,110666,5263798
181,12299668,69828291,3582327,1577838,74988456,6618525,5295036,271941,120296,5687273
182,13310877,75568100,3875981,1707892,81151973,7174726,5739809,293654,130054,6163517
183,14401633,81772404,4195777,1847933,87816114,7754897,6204304,319796,140041,6664141
184,15584247,88491369,4540680,1999927,95031976,8398476,6718965,344903,151994,7215862
185,16864504,95749216,4912026,2163767,102825009,9073290,7257847,371346,163840,7793033
