Timestamp : 13|01_01:03
Mois,Lapins vivants,Nombre de lapin juvéniles morts au total,Nombre de lapin enfant mort au total,Nombre de lapin adulte mort au total,Total de lapins morts,Nombre de naissance par mois,Nombre de lapin juvéniles morts par mois,Nombre de lapin enfant mort par mois,Nombre de lapin adulte mort par mois,Nombre de lapin mort en 1 mois
1,4,0,0,0,0,0,0,0,0,0
2,5,6,0,0,6,7,6,0,0,6
3,5,6,0,0,6,0,0,0,0,0
4,6,12,0,0,12,7,6,0,0,6
5,6,12,0,0,12,0,0,0,0,0
6,7,15,0,0,15,4,3,0,0,3
7,9,16,0,0,16,3,1,0,0,1
8,9,18,1,0,19,3,2,1,0,3
9,10,21,1,0,22,4,3,0,0,3
10,10,25,2,0,27,5,4,1,0,5
11,10,30,2,0,32,5,5,0,0,5
12,13,37,2,0,39,10,7,0,0,7
13,13,41,3,1,45,6,4,1,1,6
14,15,48,3,1,52,9,7,0,0,7
15,14,48,4,1,53,0,0,1,0,1
16,14,59,4,1,64,11,11,0,0,11
17,14,61,5,1,67,3,2,1,0,3
18,14,64,5,2,71,4,3,0,1,4
19,16,80,5,2,87,18,16,0,0,16
20,19,87,5,2,94,10,7,0,0,7
21,24,98,5,2,105,16,11,0,0,11
22,24,109,5,2,116,11,11,0,0,11
23,28,120,6,2,128,16,11,1,0,12
24,31,132,8,2,142,17,12,2,0,14
25,32,143,9,3,155,14,11,1,1,13
26,34,164,9,3,176,23,21,0,0,21
27,39,180,9,3,192,21,16,0,0,16
28,41,197,9,5,211,21,17,0,2,19
29,48,220,9,6,235,31,23,0,1,24
30,54,244,10,7,261,32,24,1,1,26
31,60,269,10,7,286,31,25,0,0,25
32,66,300,10,9,319,39,31,0,2,33
33,82,335,11,9,355,52,35,1,0,36
34,88,359,14,10,383,34,24,3,1,28
35,105,406,15,10,431,65,47,1,0,48
36,113,450,19,10,479,56,44,4,0,48
37,127,522,20,10,552,87,72,1,0,73
38,129,571,25,12,608,58,49,5,2,56
39,148,665,27,14,706,117,94,2,2,98
40,155,728,33,17,778,79,63,6,3,72
41,165,816,40,20,876,108,88,7,3,98
42,184,904,46,20,970,113,88,6,0,94
43,204,999,47,22,1068,118,95,1,2,98
44,212,1090,57,25,1172,112,91,10,3,104
45,224,1216,65,27,1308,148,126,8,2,136
46,247,1322,71,27,1420,135,106,6,0,112
47,277,1468,78,29,1575,185,146,7,2,155
48,292,1577,85,33,1695,135,109,7,4,120
49,333,1743,90,35,1868,214,166,5,2,173
50,354,1870,94,37,2001,154,127,4,2,133
51,382,2035,107,40,2182,209,165,13,3,181
52,402,2182,116,44,2342,180,147,9,4,160
53,442,2375,124,49,2548,246,193,8,5,206
54,482,2575,137,54,2766,258,200,13,5,218
55,532,2826,148,58,3032,316,251,11,4,266
56,565,3034,162,65,3261,262,208,14,7,229
57,615,3329,174,72,3575,364,295,12,7,314
58,641,3558,194,80,3832,283,229,20,8,257
59,695,3889,215,87,4191,413,331,21,7,359
60,740,4179,236,98,4513,367,290,21,11,322
61,807,4614,254,106,4974,528,435,18,8,461
62,855,4971,278,113,5362,436,357,24,7,388
63,961,5459,300,121,5880,624,488,22,8,518
64,1049,5869,320,133,6322,530,410,20,12,442
65,1143,6445,334,146,6925,697,576,14,13,603
66,1225,6934,363,157,7454,611,489,29,11,529
67,1336,7588,391,168,8147,804,654,28,11,693
68,1414,8253,429,186,8868,799,665,38,18,721
69,1540,8986,454,204,9644,902,733,25,18,776
70,1692,9767,488,217,10472,980,781,34,13,828
71,1854,10604,529,240,11373,1063,837,41,23,901
72,2007,11516,577,252,12345,1125,912,48,12,972
73,2154,12519,623,272,13414,1216,1003,46,20,1069
74,2340,13522,675,286,14483,1255,1003,52,14,1069
75,2542,14655,722,318,15695,1414,1133,47,32,1212
76,2759,15828,776,344,16948,1470,1173,54,26,1253
77,2967,17103,852,372,18327,1587,1275,76,28,1379
78,3154,18590,917,410,19917,1777,1487,65,38,1590
79,3453,20078,984,443,21505,1887,1488,67,33,1588
80,3734,21660,1066,470,23196,1972,1582,82,27,1691
81,4008,23383,1166,515,25064,2142,1723,100,45,1868
82,4319,25322,1273,567,27162,2409,1939,107,52,2098
83,4644,27310,1374,604,29288,2451,1988,101,37,2126
84,5020,29623,1465,677,31765,2853,2313,91,73,2477
85,5434,31878,1597,720,34195,2844,2255,132,43,2430
86,5858,34389,1736,768,36893,3122,2511,139,48,2698
87,6358,37150,1867,827,39844,3451,2761,131,59,2951
88,6901,40140,2014,897,43051,3750,2990,147,70,3207
89,7437,43360,2179,973,46512,3997,3220,165,76,3461
90,7981,47025,2370,1071,50466,4498,3665,191,98,3954
91,8642,50785,2567,1161,54513,4708,3760,197,90,4047
92,9395,54906,2749,1249,58904,5144,4121,182,88,4391
93,10166,59233,2960,1340,63533,5400,4327,211,91,4629
94,10982,64006,3197,1434,68637,5920,4773,237,94,5104
95,11851,69006,3482,1559,74047,6279,5000,285,125,5410
96,12880,74603,3754,1685,80042,7024,5597,272,126,5995
97,13988,80478,4063,1810,86351,7417,5875,309,125,6309
98,15160,86944,4420,1939,93303,8124,6466,357,129,6952
99,16301,93853,4783,2096,100732,8570,6909,363,157,7429
100,17614,101491,5167,2264,108922,9503,7638,384,168,8190
101,19100,109503,5605,2459,117567,10131,8012,438,195,8645
102,20743,118290,6038,2657,126985,11061,8787,433,198,9418
103,22388,127760,6520,2898,137178,11838,9470,482,241,10193
104,24155,138196,7030,3145,148371,12960,10436,510,247,11193
105,26075,149495,7631,3386,160512,14061,11299,601,241,12141
106,28175,161485,8247,3641,173373,14961,11990,616,255,12861
107,30469,174395,8890,3934,187219,16140,12910,643,293,13846
108,32849,188561,9620,4237,202418,17579,14166,730,303,15199
109,35554,203772,10381,4593,218746,19033,15211,761,356,16328
110,38607,220196,11260,4933,236389,20696,16424,879,340,17643
111,41736,237691,12234,5337,255262,22002,17495,974,404,18873
112,45131,257351,13259,5767,276377,24510,19660,1025,430,21115
113,48898,278228,14390,6223,298841,26231,20877,1131,456,22464
114,53003,301656,15537,6788,323981,29245,23428,1147,565,25140
115,57417,326069,16793,7378,350240,30673,24413,1256,590,26259
116,62374,353112,18155,7998,379265,33982,27043,1362,620,29025
117,67371,381740,19656,8675,410071,35803,28628,1501,677,30806
118,73080,413009,21243,9368,443620,39258,31269,1587,693,33549
119,78897,446679,23021,10134,479834,42031,33670,1778,766,36214
120,85507,483580,24947,10935,519462,46238,36901,1926,801,39628
121,92303,522938,27046,11856,561840,49174,39358,2099,921,42378
122,100139,566813,29196,12832,608841,54837,43875,2150,976,47001
123,108344,612707,31548,13894,658149,57513,45894,2352,1062,49308
124,117306,664088,34179,15092,713359,64172,51381,2631,1198,55210
125,127035,718333,37000,16255,771588,67958,54245,2821,1163,58229
126,137376,778189,40090,17583,835862,74615,59856,3090,1328,64274
127,148400,842045,43435,19022,904502,79664,63856,3345,1439,68640
128,160615,911787,46980,20508,979275,86988,69742,3545,1486,74773
129,173866,986809,50842,22168,1059819,93795,75022,3862,1660,80544
130,188092,1068186,55080,23972,1147238,101645,81377,4238,1804,87419
131,203645,1155913,59575,25873,1241361,109676,87727,4495,1901,94123
132,220378,1251341,64449,28046,1343836,119208,95428,4874,2173,102475
133,238227,1354446,69737,30353,1454536,128549,103105,5288,2307,110700
134,257940,1466146,75419,32899,1574464,139641,111700,5682,2546,119928
135,279273,1587570,81533,35682,1704785,151654,121424,6114,2783,130321
136,302619,1717875,88152,38607,1844634,163195,130305,6619,2925,139849
137,327211,1859238,95511,41753,1996502,176460,141363,7359,3146,151868
138,354481,2011864,103334,45294,2160492,191260,152626,7823,3541,163990
139,383752,2176945,111865,49030,2337840,206619,165081,8531,3736,177348
140,414842,2355159,121077,53121,2529357,222607,178214,9212,4091,191517
141,448525,2548742,131222,57485,2737449,241775,193583,10145,4364,208092
142,485180,2757164,142063,62102,2961329,260535,208422,10841,4617,223880
143,525218,2983457,153694,67302,3204453,283162,226293,11631,5200,243124
144,568644,3228049,166124,72827,3467000,305973,244592,12430,5525,262547
145,615288,3493632,179642,78913,3752187,331831,265583,13518,6086,285187
146,665666,3779986,194374,85415,4059775,357966,286354,14732,6502,307588
147,719735,4091749,210306,92386,4394441,388735,311763,15932,6971,334666
148,778738,4426644,227250,100047,4753941,418503,334895,16944,7661,359500
149,842959,4789552,245839,108417,5143808,454088,362908,18589,8370,389867
150,912274,5182139,265879,117266,5565284,490791,392587,20040,8849,421476
151,987742,5607850,287680,126927,6022457,532641,425711,21801,9661,457173
152,1068745,6067118,311245,137199,6515562,574108,459268,23565,10272,493105
153,1156727,6566996,337020,148519,7052535,624955,499878,25775,11320,536973
154,1251794,7105237,364767,160544,7630548,673080,538241,27747,12025,578013
155,1354598,7690504,394848,173659,8259011,731267,585267,30081,13115,628463
156,1465215,8322337,427130,188058,8937525,789131,631833,32282,14399,678514
157,1586317,9007658,461728,203740,9673126,856703,685321,34598,15682,735601
158,1716774,9748319,499458,220490,10468267,925598,740661,37730,16750,795141
159,1858650,10550647,540222,238856,11329725,1003334,802328,40764,18366,861458
160,2011170,11416697,584699,258335,12259731,1082526,866050,44477,19479,930006
161,2176610,12358798,633146,279526,13271470,1177179,942101,48447,21191,1011739
162,2354765,13373635,685630,302446,14361711,1268396,1014837,52484,22920,1090241
163,2547814,14473788,742197,327620,15543605,1374943,1100153,56567,25174,1181894
164,2757700,15660841,803280,354272,16818393,1484674,1187053,61083,26652,1274788
165,2984595,16950098,869294,383434,18202826,1611328,1289257,66014,29162,1384433
166,3229544,18343154,940891,414910,19698955,1741078,1393056,71597,31476,1496129
167,3495729,19852541,1017937,449212,21319690,1886920,1509387,77046,34302,1620735
168,3783169,21480689,1101462,486047,23068198,2035948,1628148,83525,36835,1748508
169,4094930,23243848,1191916,525665,24961429,2204992,1763159,90454,39618,1893231
170,4431131,25154794,1289857,568811,27013462,2388234,1910946,97941,43146,2052033
171,4795811,27221280,1395900,615330,29232510,2583728,2066486,106043,46519,2219048
172,5189036,29457346,1510740,666243,31634329,2795044,2236066,114840,50913,2401819
173,5616485,31875308,1634163,720800,34230271,3023391,2417962,123423,54557,2595942
174,6078468,34493009,1768555,779903,37041467,3273179,2617701,134392,59103,2811196
175,6578376,37328804,1914310,843811,40086925,3545366,2835795,145755,63908,3045458
176,7118488,40395787,2071752,912835,43380374,3833561,3066983,157442,69024,3293449
177,7703876,43714062,2242736,987501,46944299,4149313,3318275,170984,74666,3563925
178,8334823,47306998,2427384,1068850,50803232,4489880,3592936,184648,81349,3858933
179,9020103,51194297,2626982,1156497,54977776,4859824,3887299,199598,87647,4174544
180,9761537,55403142,2842308,1251499,59496949,5260607,4208845,215326,95002,4519173
181,10562799,59953526,3076083,1354438,64384047,5688360,4550384,233775,102939,4887098
182,11429804,64886655,3328822,1466091,69681568,6164526,4933129,252739,111653,5297521
183,12368275,70215980,3601710,1587047,75404737,6661640,5329325,272888,120956,5723169
184,13386454,75985725,3897830,1717751,81601306,7214748,5769745,296120,130704,6196569
185,14484261,82230903,4218094,1859024,88308021,7804522,6245178,320264,141273,6706715
186,15677808,88987665,4563763,2012256,95563684,8449210,6756762,345669,153232,7255663
187,16966165,96299237,4938343,2177656,103415236,9139909,7311572,374580,165400,7851552
188,18362221,104213212,5343701,2356716,111913629,9894449,7913975,405358,179060,8498393
189,19866708,112775237,5783535,2549447,121108219,10699077,8562025,439834,192731,9194590
190,21497333,122042140,6259787,2758709,131060636,11583042,9266903,476252,209262,9952417
191,23262758,132061018,6774196,2985907,141821121,12525910,10018878,514409,227198,10760485
192,25171844,142915194,7331385,3230970,153477549,13565514,10854176,557189,245063,11656428
