Timestamp : 13|01_01:13
Mois,Lapins vivants,Nombre de lapin juvéniles morts au total,Nombre de lapin enfant mort au total,Nombre de lapin adulte mort au total,Total de lapins morts,Nombre de naissance par mois,Nombre de lapin juvéniles morts par mois,Nombre de lapin enfant mort par mois,Nombre de lapin adulte mort par mois,Nombre de lapin mort en 1 mois
1,4,0,0,0,0,0,0,0,0,0
2,6,7,0,0,7,9,7,0,0,7
3,5,7,1,0,8,0,0,1,0,1
4,9,9,1,0,10,6,2,0,0,2
5,9,9,1,0,10,0,0,0,0,0
6,10,14,1,0,15,6,5,0,0,5
7,10,14,1,0,15,0,0,0,0,0
8,10,22,1,0,23,8,8,0,0,8
9,10,22,1,0,23,0,0,0,0,0
10,11,32,1,0,33,11,10,0,0,10
11,10,32,2,0,34,0,0,1,0,1
12,15,53,2,0,55,26,21,0,0,21
13,15,53,2,0,55,0,0,0,0,0
14,17,76,2,0,78,25,23,0,0,23
15,16,76,3,0,79,0,0,1,0,1
16,25,94,4,0,98,28,18,1,0,19
17,25,94,4,0,98,0,0,0,0,0
18,29,112,5,0,117,23,18,1,0,19
19,32,126,6,0,132,18,14,1,0,15
20,35,150,6,0,156,27,24,0,0,24
21,37,163,7,0,170,16,13,1,0,14
22,40,182,7,1,190,23,19,0,1,20
23,44,214,7,2,223,37,32,0,1,33
24,49,241,7,2,250,32,27,0,0,27
25,55,272,8,3,283,39,31,1,1,33
26,58,284,10,3,297,17,12,2,0,14
27,65,316,13,3,332,42,32,3,0,35
28,67,335,15,3,353,23,19,2,0,21
29,70,381,20,3,404,54,46,5,0,51
30,71,402,22,4,428,25,21,2,1,24
31,80,448,22,4,474,55,46,0,0,46
32,85,480,25,5,510,41,32,3,1,36
33,100,535,25,6,566,71,55,0,1,56
34,106,571,27,8,606,46,36,2,2,40
35,105,627,31,11,669,62,56,4,3,63
36,109,663,36,11,710,45,36,5,0,41
37,127,739,38,13,790,98,76,2,2,80
38,130,791,40,18,849,62,52,2,5,59
39,148,867,44,19,930,99,76,4,1,81
40,158,942,47,21,1010,90,75,3,2,80
41,171,1031,54,22,1107,110,89,7,1,97
42,182,1096,58,24,1178,82,65,4,2,71
43,212,1186,58,27,1271,123,90,0,3,93
44,227,1268,64,29,1361,105,82,6,2,90
45,250,1391,70,35,1496,158,123,6,6,135
46,253,1489,77,39,1605,112,98,7,4,109
47,286,1615,81,43,1739,167,126,4,4,134
48,316,1735,89,43,1867,158,120,8,0,128
49,340,1891,101,43,2035,192,156,12,0,168
50,365,2037,112,45,2194,184,146,11,2,159
51,405,2208,121,47,2376,222,171,9,2,182
52,423,2381,129,53,2563,205,173,8,6,187
53,466,2568,138,57,2763,243,187,9,4,200
54,500,2752,147,62,2961,232,184,9,5,198
55,545,3024,164,67,3255,339,272,17,5,294
56,592,3250,173,73,3496,288,226,9,6,241
57,663,3558,186,78,3822,397,308,13,5,326
58,690,3812,207,87,4106,311,254,21,9,284
59,730,4163,226,101,4490,424,351,19,14,384
60,762,4485,246,111,4842,384,322,20,10,352
61,832,4886,263,120,5269,497,401,17,9,427
62,908,5273,279,124,5676,483,387,16,4,407
63,1001,5768,300,133,6201,618,495,21,9,525
64,1091,6234,311,148,6693,582,466,11,15,492
65,1175,6818,338,164,7320,711,584,27,16,627
66,1256,7341,365,175,7881,642,523,27,11,561
67,1353,7960,402,184,8546,762,619,37,9,665
68,1471,8602,438,198,9238,810,642,36,14,692
69,1620,9333,473,213,10019,930,731,35,15,781
70,1733,10085,503,234,10822,916,752,30,21,803
71,1865,10882,557,248,11687,997,797,54,14,865
72,2027,11727,596,270,12593,1068,845,39,22,906
73,2177,12693,647,295,13635,1192,966,51,25,1042
74,2365,13658,704,312,14674,1227,965,57,17,1039
75,2569,14802,764,343,15909,1439,1144,60,31,1235
76,2751,15978,839,372,17189,1462,1176,75,29,1280
