Timestamp : 13|01_01:12
Mois,Lapins vivants,Nombre de lapin juvéniles morts au total,Nombre de lapin enfant mort au total,Nombre de lapin adulte mort au total,Total de lapins morts,Nombre de naissance par mois,Nombre de lapin juvéniles morts par mois,Nombre de lapin enfant mort par mois,Nombre de lapin adulte mort par mois,Nombre de lapin mort en 1 mois
1,4,0,0,0,0,0,0,0,0,0
2,5,8,0,0,8,9,8,0,0,8
3,5,8,0,0,8,0,0,0,0,0
4,7,14,0,0,14,8,6,0,0,6
5,6,14,1,0,15,0,0,1,0,1
6,7,21,1,1,23,9,7,0,1,8
7,7,21,1,1,23,0,0,0,0,0
8,8,23,1,1,25,3,2,0,0,2
9,7,23,2,1,26,0,0,1,0,1
10,9,24,2,1,27,3,1,0,0,1
11,9,28,2,1,31,4,4,0,0,4
12,11,37,3,1,41,12,9,1,0,10
13,11,43,3,1,47,6,6,0,0,6
14,14,50,3,1,54,10,7,0,0,7
15,15,52,3,1,56,3,2,0,0,2
16,16,55,4,1,60,5,3,1,0,4
17,13,58,7,1,66,3,3,3,0,6
18,15,65,7,1,73,9,7,0,0,7
19,20,73,7,1,81,13,8,0,0,8
20,25,77,7,1,85,9,4,0,0,4
21,27,88,7,1,96,13,11,0,0,11
22,29,97,7,1,105,11,9,0,0,9
23,31,106,7,2,115,12,9,0,1,10
24,30,119,8,2,129,13,13,1,0,14
25,31,139,9,2,150,22,20,1,0,21
26,37,163,9,2,174,30,24,0,0,24
27,37,183,10,2,195,21,20,1,0,21
28,42,207,10,3,220,30,24,0,1,25
29,45,219,10,3,232,15,12,0,0,12
30,50,243,10,3,256,29,24,0,0,24
31,49,261,12,3,276,19,18,2,0,20
32,54,291,12,3,306,35,30,0,0,30
33,57,313,12,3,328,25,22,0,0,22
34,66,356,12,3,371,52,43,0,0,43
35,71,371,13,5,389,23,15,1,2,18
36,79,416,14,5,435,54,45,1,0,46
37,80,443,16,5,464,30,27,2,0,29
38,87,491,19,5,515,58,48,3,0,51
39,93,521,21,5,547,38,30,2,0,32
40,103,575,24,6,605,68,54,3,1,58
41,118,619,24,8,651,61,44,0,2,46
42,119,680,29,9,718,68,61,5,1,67
43,127,720,31,10,761,51,40,2,1,43
44,141,809,32,12,853,106,89,1,2,92
45,153,854,36,12,902,61,45,4,0,49
46,167,948,40,13,1001,113,94,4,1,99
47,170,1015,46,17,1078,80,67,6,4,77
48,193,1139,48,20,1207,152,124,2,3,129
49,193,1219,56,23,1298,91,80,8,3,91
50,222,1340,60,23,1423,154,121,4,0,125
51,238,1411,64,23,1498,91,71,4,0,75
52,264,1575,70,25,1670,198,164,6,2,172
53,281,1672,74,27,1773,120,97,4,2,103
54,319,1833,81,27,1941,206,161,7,0,168
55,330,1942,93,32,2067,137,109,12,5,126
56,363,2110,99,33,2242,208,168,6,1,175
57,383,2226,107,36,2369,147,116,8,3,127
58,427,2459,119,40,2618,293,233,12,4,249
59,449,2626,130,47,2803,207,167,11,7,185
60,489,2872,140,51,3063,300,246,10,4,260
61,517,3083,153,58,3294,259,211,13,7,231
62,566,3317,163,62,3542,297,234,10,4,248
63,601,3567,173,67,3807,300,250,10,5,265
64,637,3816,188,72,4076,305,249,15,5,269
65,694,4132,200,78,4410,391,316,12,6,334
66,746,4429,212,84,4725,367,297,12,6,315
67,814,4813,222,94,5129,472,384,10,10,404
68,883,5199,235,105,5539,479,386,13,11,410
69,957,5614,259,117,5990,525,415,24,12,451
70,1020,6056,284,132,6472,545,442,25,15,482
71,1128,6566,299,142,7007,643,510,15,10,535
72,1199,7062,323,154,7539,603,496,24,12,532
73,1313,7633,353,168,8154,729,571,30,14,615
74,1419,8213,384,178,8775,727,580,31,10,621
75,1522,8909,423,194,9526,854,696,39,16,751
76,1637,9569,462,207,10238,827,660,39,13,712
77,1791,10323,494,229,11046,962,754,32,22,808
78,1928,11077,540,245,11862,953,754,46,16,816
79,2087,12081,581,264,12926,1223,1004,41,19,1064
80,2256,12954,623,283,13860,1103,873,42,19,934
81,2441,14065,677,314,15056,1381,1111,54,31,1196
82,2636,15046,732,348,16126,1265,981,55,34,1070
83,2867,16370,801,377,17548,1653,1324,69,29,1422
84,3057,17578,886,401,18865,1507,1208,85,24,1317
85,3358,19093,964,429,20486,1922,1515,78,28,1621
86,3622,20541,1040,453,22034,1812,1448,76,24,1548
87,3948,22335,1128,482,23945,2237,1794,88,29,1911
88,4196,23985,1224,527,25736,2039,1650,96,45,1791
89,4553,26055,1321,565,27941,2562,2070,97,38,2205
90,4926,28047,1416,613,30076,2508,1992,95,48,2135
91,5354,30561,1535,677,32773,3125,2514,119,64,2697
92,5765,32831,1638,727,35196,2834,2270,103,50,2423
93,6185,35682,1791,799,38272,3496,2851,153,72,3076
94,6676,38385,1922,866,41173,3392,2703,131,67,2901
95,7308,41766,2087,934,44787,4246,3381,165,68,3614
96,7854,45079,2266,1018,48363,4122,3313,179,84,3576
97,8497,48939,2468,1107,52514,4794,3860,202,89,4151
98,9156,52823,2657,1193,56673,4818,3884,189,86,4159
99,9884,57206,2868,1293,61367,5422,4383,211,100,4694
100,10637,61658,3097,1384,66139,5525,4452,229,91,4772
101,11635,66727,3330,1493,71550,6409,5069,233,109,5411
102,12565,71968,3591,1622,77181,6561,5241,261,129,5631
103,13626,78080,3884,1756,83720,7600,6112,293,134,6539
104,14621,84351,4211,1898,90460,7735,6271,327,142,6740
105,15788,91372,4557,2054,97983,8690,7021,346,156,7523
106,17078,98767,4931,2221,105919,9226,7395,374,167,7936
107,18489,106812,5341,2415,114568,10060,8045,410,194,8649
108,19952,115519,5765,2630,123914,10809,8707,424,215,9346
109,21716,125100,6234,2838,134172,12022,9581,469,208,10258
110,23476,135238,6739,3074,145051,12639,10138,505,236,10879
111,25464,146449,7288,3303,157040,13977,11211,549,229,11989
112,27453,158175,7942,3581,169698,14647,11726,654,278,12658
113,29805,171243,8554,3872,183669,16323,13068,612,291,13971
114,32232,185092,9279,4178,198549,17307,13849,725,306,14880
115,35030,200270,10082,4517,214869,19118,15178,803,339,16320
116,37881,216489,10971,4889,232349,20331,16219,889,372,17480
117,40960,234253,11887,5295,251435,22165,17764,916,406,19086
118,44278,253051,12848,5714,271613,23496,18798,961,419,20178
119,48016,273771,13936,6164,293871,25996,20720,1088,450,22258
120,51977,296052,15074,6656,317782,27872,22281,1138,492,23911
121,56175,320177,16343,7166,343686,30102,24125,1269,510,25904
122,60889,346485,17690,7785,371960,32988,26308,1347,619,28274
123,65869,374327,19095,8422,401844,34864,27842,1405,637,29884
124,71381,405486,20660,9103,435249,38917,31159,1565,681,33405
125,77029,438599,22369,9888,470856,41255,33113,1709,785,35607
126,83483,474915,24204,10690,509809,45407,36316,1835,802,38953
127,90208,513359,26250,11566,551175,48091,38444,2046,876,41366
128,97623,556223,28461,12573,597257,53497,42864,2211,1007,46082
129,105515,601300,30818,13596,645714,56349,45077,2357,1023,48457
130,114288,651302,33286,14680,699268,62327,50002,2468,1084,53554
131,123532,704286,35977,15899,756162,66138,52984,2691,1219,56894
132,133679,762725,39051,17255,819031,73016,58439,3074,1356,62869
133,144595,824770,42219,18625,885614,77499,62045,3168,1370,66583
134,156610,892940,45708,20150,958798,85199,68170,3489,1525,73184
135,169410,965935,49408,21751,1037094,91096,72995,3700,1601,78296
136,183251,1045329,53471,23580,1122380,99127,79394,4063,1829,85286
137,198190,1130483,57828,25518,1213829,106388,85154,4357,1938,91449
138,214484,1223151,62555,27647,1313353,115818,92668,4727,2129,99524
139,232148,1322723,67639,29898,1420260,124571,99572,5084,2251,106907
140,251315,1431058,73347,32260,1536665,135572,108335,5708,2362,116405
141,271822,1547319,79419,35031,1661769,145611,116261,6072,2771,125104
142,294133,1673749,86035,37951,1797735,158277,126430,6616,2920,135966
143,317893,1809466,93207,41010,1943683,169708,135717,7172,3059,145948
144,344147,1958241,100787,44300,2103328,185899,148775,7580,3290,159645
145,372115,2118361,108951,47945,2275257,199897,160120,8164,3645,171929
146,402471,2291509,117836,51876,2461221,216320,173148,8885,3931,185964
147,435300,2478895,127338,56071,2662304,233912,187386,9502,4195,201083
148,470913,2681814,137706,60729,2880249,253558,202919,10368,4658,217945
149,509632,2900840,149090,65685,3115615,274085,219026,11384,4956,235366
150,551202,3138669,161378,71106,3371153,297108,237829,12288,5421,255538
151,596282,3395042,174557,77044,3646643,320570,256373,13179,5938,275490
152,645551,3673471,188712,83243,3945426,348052,278429,14155,6199,298783
153,697965,3972932,204342,90131,4267405,374393,299461,15630,6888,321979
154,755880,4297726,220982,97357,4616065,406575,324794,16640,7226,348660
155,818143,4648931,239020,105161,4993112,439310,351205,18038,7804,377047
156,885237,5030184,258676,113910,5402770,476752,381253,19656,8749,409658
157,957610,5442552,279777,123304,5845633,515236,412368,21101,9394,442863
158,1036351,5888551,302721,133274,6324546,557654,445999,22944,9970,478913
159,1121248,6370769,327313,144166,6842248,602599,482218,24592,10892,517702
160,1213398,6894107,354357,156069,7404533,654435,523338,27044,11903,562285
161,1312419,7459589,383288,168924,8011801,706289,565482,28931,12855,607268
162,1419913,8073729,414716,182912,8671357,767050,614140,31428,13988,659556
163,1536623,8734836,448875,197844,9381555,826908,661107,34159,14932,710198
164,1662628,9454263,485799,214255,10154317,898767,719427,36924,16411,772762
165,1798784,10228435,525650,231910,10985995,967834,774172,39851,17655,831678
166,1946962,11068688,568693,250925,11888306,1050489,840253,43043,19015,902311
167,2106084,11974538,615632,271452,12861622,1132438,905850,46939,20527,973316
168,2279185,12957029,666095,293963,13917087,1228566,982491,50463,22511,1055465
169,2465625,14019090,720666,318114,15057870,1327223,1062061,54571,24151,1140783
170,2668121,15167792,779579,344057,16291428,1436054,1148702,58913,25943,1233558
171,2887290,16410747,843767,372045,17626559,1554300,1242955,64188,27988,1335131
172,3124282,17758989,913226,402705,19074920,1685353,1348242,69459,30660,1448361
173,3381124,19216691,987847,435858,20640396,1822318,1457702,74621,33153,1565476
174,3659300,20794256,1068589,471176,22334021,1971801,1577565,80742,35318,1693625
175,3959974,22500239,1155893,509620,24165752,2132405,1705983,87304,38444,1831731
176,4286286,24345871,1250321,551252,26147444,2308004,1845632,94428,41632,1981692
177,4638964,26343831,1354147,596205,28294183,2499417,1997960,103826,44953,2146739
178,5019736,28506366,1465408,645298,30617072,2703661,2162535,111261,49093,2322889
179,5432359,30849526,1584923,698045,33132494,2928045,2343160,119515,52747,2515422
180,5878007,33382032,1714546,755290,35851868,3165022,2532506,129623,57245,2719374
181,6359676,36122068,1855189,817056,38794313,3424114,2740036,140643,61766,2942445
182,6882985,39086913,2007209,884306,41978428,3707424,2964845,152020,67250,3184115
183,7447417,42298688,2172130,956884,45427702,4013706,3211775,164921,72578,3449274
184,8060183,45774286,2350262,1035512,49160060,4345124,3475598,178132,78628,3732358
185,8720205,49534304,2542797,1120183,53197284,4697246,3760018,192535,84671,4037224
186,9438911,53604461,2750534,1212003,57566998,5088420,4070157,207737,91820,4369714
187,10214135,58005562,2976613,1311449,62293624,5501850,4401101,226079,99446,4726626
188,11053673,62766926,3221152,1419978,67408056,5953970,4761364,244539,108529,5114432
189,11962020,67919577,3485914,1536784,72942275,6442566,5152651,264762,116806,5534219
190,12943916,73497076,3772693,1663019,78932788,6972409,5577499,286779,126235,5990513
191,14007308,79531080,4081521,1799734,85412335,7542939,6034004,308828,136715,6479547
192,15158895,86068193,4416720,1947258,92432171,8171423,6537113,335199,147524,7019836
