Timestamp : 13|01_01:02
Mois,Lapins vivants,Nombre de lapin juvéniles morts au total,Nombre de lapin enfant mort au total,Nombre de lapin adulte mort au total,Total de lapins morts,Nombre de naissance par mois,Nombre de lapin juvéniles morts par mois,Nombre de lapin enfant mort par mois,Nombre de lapin adulte mort par mois,Nombre de lapin mort en 1 mois
1,4,0,0,0,0,0,0,0,0,0
2,6,6,0,0,6,8,6,0,0,6
3,6,6,0,0,6,0,0,0,0,0
4,8,12,0,0,12,8,6,0,0,6
5,8,12,0,0,12,0,0,0,0,0
6,8,22,0,0,22,10,10,0,0,10
7,8,22,0,0,22,0,0,0,0,0
8,10,31,0,0,31,11,9,0,0,9
9,10,37,0,0,37,6,6,0,0,6
10,10,47,0,0,47,10,10,0,0,10
11,10,52,0,0,52,5,5,0,0,5
12,11,60,0,0,60,9,8,0,0,8
13,13,63,0,0,63,5,3,0,0,3
14,15,70,0,0,70,9,7,0,0,7
15,16,86,0,0,86,17,16,0,0,16
16,20,91,0,0,91,9,5,0,0,5
17,20,99,1,1,101,10,8,1,1,10
18,19,101,3,1,105,3,2,2,0,4
19,23,117,3,1,121,20,16,0,0,16
20,23,122,3,2,127,6,5,0,1,6
21,28,136,4,2,142,20,14,1,0,15
22,25,136,6,3,145,0,0,2,1,3
23,28,148,6,4,158,16,12,0,1,13
24,27,148,7,4,159,0,0,1,0,1
25,30,170,7,4,181,25,22,0,0,22
26,30,173,7,4,184,3,3,0,0,3
27,34,194,7,4,205,25,21,0,0,21
28,34,200,7,4,211,6,6,0,0,6
29,44,232,8,4,244,43,32,1,0,33
30,44,239,9,5,253,9,7,1,1,9
31,51,268,10,5,283,37,29,1,0,30
32,54,278,10,5,293,13,10,0,0,10
33,52,296,14,6,316,21,18,4,1,23
34,55,303,14,7,324,11,7,0,1,8
35,59,325,16,8,349,29,22,2,1,25
36,60,343,16,9,368,20,18,0,1,19
37,69,371,17,9,397,38,28,1,0,29
38,75,396,18,10,424,33,25,1,1,27
39,83,430,20,11,461,45,34,2,1,37
40,88,460,21,13,494,38,30,1,2,33
41,90,490,25,16,531,39,30,4,3,37
42,101,521,28,16,565,45,31,3,0,34
43,110,562,29,16,607,51,41,1,0,42
44,118,601,31,17,649,50,39,2,1,42
45,125,662,33,19,714,72,61,2,2,65
46,141,706,37,19,762,64,44,4,0,48
47,146,765,40,20,825,68,59,3,1,63
48,163,819,42,20,881,73,54,2,0,56
49,181,883,43,20,946,83,64,1,0,65
50,198,964,46,22,1032,103,81,3,2,86
51,209,1052,50,25,1127,106,88,4,3,95
52,221,1145,57,30,1232,117,93,7,5,105
53,226,1234,67,33,1334,107,89,10,3,102
54,245,1336,72,34,1442,127,102,5,1,108
55,260,1459,77,38,1574,147,123,5,4,132
56,283,1589,80,41,1710,159,130,3,3,136
57,311,1735,89,45,1869,187,146,9,4,159
58,352,1876,92,50,2018,190,141,3,5,149
59,382,2036,101,52,2189,201,160,9,2,171
60,404,2196,114,58,2368,201,160,13,6,179
61,439,2357,126,60,2543,210,161,12,2,175
62,475,2581,138,65,2784,277,224,12,5,241
63,495,2767,159,67,2993,229,186,21,2,209
64,535,3023,170,73,3266,313,256,11,6,273
65,588,3253,182,75,3510,297,230,12,2,244
66,640,3536,194,82,3812,354,283,12,7,302
67,685,3796,207,91,4094,327,260,13,9,282
68,744,4165,221,95,4481,446,369,14,4,387
69,780,4493,246,104,4843,398,328,25,9,362
70,847,4888,262,115,5265,489,395,16,11,422
71,895,5249,285,126,5660,443,361,23,11,395
72,994,5659,298,134,6091,530,410,13,8,431
73,1065,6090,319,146,6555,535,431,21,12,464
74,1172,6623,345,154,7122,674,533,26,8,567
75,1286,7137,364,163,7664,656,514,19,9,542
76,1405,7753,403,180,8336,791,616,39,17,672
77,1503,8308,446,190,8944,706,555,43,10,608
78,1640,9018,479,201,9698,891,710,33,11,754
79,1751,9696,534,217,10447,860,678,55,16,749
80,1907,10513,576,229,11318,1027,817,42,12,871
81,2029,11379,617,251,12247,1051,866,41,22,929
82,2190,12317,669,278,13264,1178,938,52,27,1017
83,2360,13323,719,308,14350,1256,1006,50,30,1086
84,2543,14444,771,330,15545,1378,1121,52,22,1195
85,2727,15545,845,353,16743,1382,1101,74,23,1198
86,2978,16913,908,378,18199,1707,1368,63,25,1456
87,3219,18236,978,398,19612,1654,1323,70,20,1413
88,3492,19804,1059,438,21301,1962,1568,81,40,1689
89,3740,21353,1143,482,22978,1925,1549,84,44,1677
90,4034,23168,1233,518,24919,2235,1815,90,36,1941
91,4331,24974,1339,552,26865,2243,1806,106,34,1946
92,4650,26982,1437,586,29005,2459,2008,98,34,2140
93,5086,29224,1527,648,31399,2830,2242,90,62,2394
94,5502,31545,1626,713,33884,2901,2321,99,65,2485
95,5927,34078,1761,771,36610,3151,2533,135,58,2726
96,6400,36762,1895,832,39489,3352,2684,134,61,2879
97,6963,39778,2051,891,42720,3794,3016,156,59,3231
98,7482,42947,2203,977,46127,3926,3169,152,86,3407
99,8140,46487,2399,1052,49938,4469,3540,196,75,3811
100,8754,50156,2619,1142,53917,4593,3669,220,90,3979
101,9487,54324,2852,1245,58421,5237,4168,233,103,4504
102,10266,58583,3082,1342,63007,5365,4259,230,97,4586
103,11166,63176,3317,1444,67937,5830,4593,235,102,4930
104,11991,68270,3586,1558,73414,6302,5094,269,114,5477
105,12939,73870,3862,1675,79407,6941,5600,276,117,5993
106,13955,79845,4184,1810,85839,7448,5975,322,135,6432
107,14972,86314,4525,1987,92826,8004,6469,341,177,6987
108,16186,93208,4879,2152,100239,8627,6894,354,165,7413
109,17631,100848,5247,2338,108433,9639,7640,368,186,8194
110,19082,109009,5657,2530,117196,10214,8161,410,192,8763
111,20664,117855,6100,2727,126682,11068,8846,443,197,9486
112,22216,127394,6595,2947,136936,11806,9539,495,220,10254
113,23991,137567,7149,3180,147896,12735,10173,554,233,10960
114,25918,148529,7697,3446,159672,13703,10962,548,266,11776
115,28152,160683,8273,3715,172671,15233,12154,576,269,12999
116,30344,173629,8957,4026,186612,16133,12946,684,311,13941
117,32870,188012,9675,4333,202020,17934,14383,718,307,15408
118,35479,203107,10449,4674,218230,18819,15095,774,341,16210
119,38337,219705,11300,5033,236038,20666,16598,851,359,17808
120,41506,237369,12195,5458,255022,22153,17664,895,425,18984
121,44880,256848,13190,5906,275944,24296,19479,995,448,20922
122,48704,277590,14204,6392,298186,26066,20742,1014,486,22242
123,52743,300636,15353,6885,322874,28727,23046,1149,493,24688
124,57001,325059,16593,7465,349117,30501,24423,1240,580,26243
125,61800,351858,17939,8063,377860,33542,26799,1346,598,28743
126,66843,380667,19328,8731,408726,35909,28809,1389,668,30866
127,72411,412116,20967,9418,442501,39343,31449,1639,687,33775
128,78244,445644,22734,10171,478549,41881,33528,1767,753,36048
129,84570,482405,24652,10998,518055,45832,36761,1918,827,39506
130,91321,521841,26706,11907,560454,49150,39436,2054,909,42399
131,98814,564497,28836,12865,606198,53237,42656,2130,958,45744
132,107108,610457,31243,13874,655574,57670,45960,2407,1009,49376
133,115989,659937,33755,14952,708644,61951,49480,2512,1078,53070
134,125525,714162,36588,16156,766906,67798,54225,2833,1204,58262
135,135855,772120,39601,17446,829167,72591,57958,3013,1290,62261
136,146936,835392,42810,18945,897147,79061,63272,3209,1499,67980
137,159187,903370,46278,20452,970100,85204,67978,3468,1507,72953
138,171930,977284,50156,22151,1049591,92234,73914,3878,1699,79491
139,186127,1056849,54293,23954,1135096,99702,79565,4137,1803,85505
140,201609,1143733,58636,25992,1228361,108747,86884,4343,2038,93265
141,217561,1236957,63566,28136,1328659,116250,93224,4930,2144,100298
142,235947,1339079,68625,30434,1438138,127865,102122,5059,2298,109479
143,255038,1447272,74257,32984,1554513,135466,108193,5632,2550,116375
144,276147,1567237,80301,35704,1683242,149838,119965,6044,2720,128729
145,298343,1693830,86984,38596,1819410,158364,126593,6683,2892,136168
146,322746,1833726,94210,41847,1969783,174776,139896,7226,3251,150373
147,348922,1982597,101901,45365,2129863,186256,148871,7691,3518,160080
148,377496,2146418,110072,49057,2305547,204258,163821,8171,3692,175684
149,408383,2320684,119084,53083,2492851,218191,174266,9012,4026,187304
150,441860,2512445,128948,57364,2698757,239383,191761,9864,4281,205906
151,477687,2718207,139582,61984,2919773,256843,205762,10634,4620,221016
152,516911,2942363,151206,67008,3160577,280028,224156,11624,5024,240804
153,559084,3183015,163559,72481,3419055,300651,240652,12353,5473,258478
154,605032,3444821,176969,78482,3700272,327165,261806,13410,6001,281217
155,654022,3725813,191573,84829,4002215,350933,280992,14604,6347,301943
156,707128,4031381,207100,91786,4330267,381158,305568,15527,6957,328052
157,765554,4361474,224044,99229,4684747,412906,330093,16944,7443,354480
158,828633,4719731,242190,107204,5069125,447457,358257,18146,7975,384378
159,896206,5107383,262060,115893,5485336,483784,387652,19870,8689,416211
160,970263,5527113,283445,125326,5935884,524605,419730,21385,9433,450548
161,1050133,5978375,306677,135471,6420523,564509,451262,23232,10145,484639
162,1136828,6469895,331725,146739,6948359,614531,491520,25048,11268,527836
163,1230070,6999039,358943,158741,7516723,661606,529144,27218,12002,568364
164,1330201,7573540,388665,171810,8134015,717423,574501,29722,13069,617292
