Timestamp : 13|01_01:10
Mois,Lapins vivants,Nombre de lapin juvéniles morts au total,Nombre de lapin enfant mort au total,Nombre de lapin adulte mort au total,Total de lapins morts,Nombre de naissance par mois,Nombre de lapin juvéniles morts par mois,Nombre de lapin enfant mort par mois,Nombre de lapin adulte mort par mois,Nombre de lapin mort en 1 mois
1,3,0,0,1,1,0,0,0,1,1
2,4,8,0,1,9,9,8,0,0,8
3,4,8,0,1,9,0,0,0,0,0
4,3,15,0,2,17,7,7,0,1,8
5,3,15,0,2,17,0,0,0,0,0
6,3,18,0,2,20,3,3,0,0,3
7,2,18,1,2,21,0,0,1,0,1
8,2,21,1,2,24,3,3,0,0,3
9,2,21,1,2,24,0,0,0,0,0
10,3,26,1,2,29,6,5,0,0,5
11,3,26,1,2,29,0,0,0,0,0
12,4,31,1,2,34,6,5,0,0,5
13,4,31,1,2,34,0,0,0,0,0
14,3,34,1,3,38,3,3,0,1,4
15,3,34,1,3,38,0,0,0,0,0
16,3,34,1,3,38,0,0,0,0,0
17,3,34,1,3,38,0,0,0,0,0
18,5,40,1,3,44,8,6,0,0,6
19,5,40,1,3,44,0,0,0,0,0
20,6,46,1,3,50,7,6,0,0,6
21,6,46,1,3,50,0,0,0,0,0
22,8,54,1,3,58,10,8,0,0,8
23,8,54,1,3,58,0,0,0,0,0
24,10,68,1,3,72,16,14,0,0,14
25,10,68,1,3,72,0,0,0,0,0
26,12,78,1,3,82,12,10,0,0,10
27,11,78,2,3,83,0,0,1,0,1
28,12,97,2,3,102,20,19,0,0,19
29,12,97,2,3,102,0,0,0,0,0
30,17,118,2,3,123,26,21,0,0,21
31,15,122,3,4,129,4,4,1,1,6
32,18,139,3,4,146,20,17,0,0,17
33,18,145,3,4,152,6,6,0,0,6
34,22,156,3,4,163,15,11,0,0,11
35,22,162,3,4,169,6,6,0,0,6
36,25,171,4,4,179,13,9,1,0,10
37,29,185,4,4,193,18,14,0,0,14
38,31,206,4,4,214,23,21,0,0,21
39,30,224,7,4,235,20,18,3,0,21
40,35,246,7,5,258,28,22,0,1,23
41,39,268,9,5,282,28,22,2,0,24
42,43,292,9,6,307,29,24,0,1,25
43,42,308,10,6,324,16,16,1,0,17
44,49,336,10,6,352,35,28,0,0,28
45,53,360,11,6,377,29,24,1,0,25
46,58,391,12,6,409,37,31,1,0,32
47,60,421,14,6,441,34,30,2,0,32
48,69,460,15,7,482,50,39,1,1,41
49,74,502,18,8,528,51,42,3,1,46
50,79,536,20,8,564,41,34,2,0,36
51,88,574,21,10,605,50,38,1,2,41
52,94,617,25,10,652,53,43,4,0,47
53,105,658,27,10,695,54,41,2,0,43
54,116,696,28,10,734,50,38,1,0,39
55,124,762,34,11,807,81,66,6,1,73
56,132,799,37,13,849,50,37,3,2,42
57,147,891,40,13,944,110,92,3,0,95
58,158,946,44,14,1004,71,55,4,1,60
59,169,1029,47,19,1095,102,83,3,5,91
60,174,1104,54,21,1179,89,75,7,2,84
61,193,1200,56,22,1278,118,96,2,1,99
62,213,1271,61,23,1355,97,71,5,1,77
63,239,1420,67,26,1513,184,149,6,3,158
64,253,1495,72,28,1595,96,75,5,2,82
65,284,1654,73,31,1758,194,159,1,3,163
66,292,1735,78,36,1849,99,81,5,5,91
67,327,1924,87,42,2053,239,189,9,6,204
68,353,2040,90,45,2175,148,116,3,3,122
69,386,2245,101,47,2393,251,205,11,2,218
70,423,2408,105,48,2561,205,163,4,1,168
71,469,2669,114,53,2836,321,261,9,5,275
72,480,2850,126,61,3037,212,181,12,8,201
73,517,3131,138,70,3339,339,281,12,9,302
74,556,3327,146,77,3550,250,196,8,7,211
75,618,3645,159,79,3883,395,318,13,2,333
76,655,3898,177,83,4158,312,253,18,4,275
77,724,4279,198,94,4571,482,381,21,11,413
78,770,4556,214,100,4870,345,277,16,6,299
79,831,4954,241,105,5300,491,398,27,5,430
80,888,5294,266,119,5679,436,340,25,14,379
81,968,5711,285,132,6128,529,417,19,13,449
82,1007,6098,312,149,6559,470,387,27,17,431
83,1101,6570,339,157,7066,601,472,27,8,507
84,1154,7017,381,170,7568,555,447,42,13,502
85,1265,7571,404,178,8153,696,554,23,8,585
86,1340,8093,427,195,8715,637,522,23,17,562
87,1458,8768,456,206,9430,833,675,29,11,715
88,1571,9373,482,227,10082,765,605,26,21,652
89,1704,10202,520,245,10967,1018,829,38,18,885
90,1834,10908,559,267,11734,897,706,39,22,767
91,2002,11790,599,289,12678,1112,882,40,22,944
92,2162,12702,638,309,13649,1131,912,39,20,971
93,2349,13782,697,330,14809,1347,1080,59,21,1160
94,2520,14864,755,353,15972,1334,1082,58,23,1163
95,2773,16041,811,378,17230,1511,1177,56,25,1258
96,3007,17286,889,405,18580,1584,1245,78,27,1350
97,3227,18716,974,441,20131,1771,1430,85,36,1551
98,3516,20237,1039,474,21750,1908,1521,65,33,1619
99,3810,21886,1120,518,23524,2068,1649,81,44,1774
100,4108,23632,1216,564,25412,2186,1746,96,46,1888
101,4448,25534,1304,611,27449,2377,1902,88,47,2037
102,4799,27557,1423,659,29639,2541,2023,119,48,2190
103,5202,29792,1543,693,32028,2792,2235,120,34,2389
104,5582,32124,1684,753,34561,2913,2332,141,60,2533
105,6067,34856,1807,809,37472,3396,2732,123,56,2911
106,6507,37637,1960,873,40470,3438,2781,153,64,2998
107,7084,40770,2100,956,43826,3933,3133,140,83,3356
108,7692,44113,2266,1024,47403,4185,3343,166,68,3577
109,8317,47799,2443,1105,51347,4569,3686,177,81,3944
110,9034,51702,2646,1201,55549,4919,3903,203,96,4202
111,9737,55895,2874,1282,60051,5205,4193,228,81,4502
112,10539,60429,3085,1410,64924,5675,4534,211,128,4873
113,11379,65343,3345,1523,70211,6127,4914,260,113,5287
114,12220,70502,3629,1637,75768,6398,5159,284,114,5557
115,13196,76242,3925,1770,81937,7145,5740,296,133,6169
116,14210,82280,4250,1910,88440,7517,6038,325,140,6503
117,15351,89063,4575,2076,95714,8415,6783,325,166,7274
118,16572,96023,4934,2237,103194,8701,6960,359,161,7480
119,17943,103936,5359,2404,111699,9876,7913,425,167,8505
120,19427,112195,5749,2575,120519,10304,8259,390,171,8820
121,21054,121377,6190,2788,130355,11463,9182,441,213,9836
122,22810,130878,6686,3008,140572,11973,9501,496,220,10217
123,24643,141609,7227,3214,152050,13311,10731,541,206,11478
124,26662,152994,7829,3470,164293,14262,11385,602,256,12243
125,28841,165596,8470,3771,177837,15723,12602,641,301,13544
126,31155,178960,9140,4084,192184,16661,13364,670,313,14347
127,33716,193583,9880,4420,207883,18260,14623,740,336,15699
128,36424,209146,10710,4827,224683,19508,15563,830,407,16800
129,39420,226140,11617,5219,242976,21289,16994,907,392,18293
130,42601,244302,12543,5652,262497,22702,18162,926,433,19521
131,45997,263817,13546,6128,283491,24390,19515,1003,476,20994
132,49718,285265,14615,6595,306475,26705,21448,1069,467,22984
133,53826,308271,15718,7122,331111,28744,23006,1103,527,24636
134,58193,333586,17005,7677,358268,31524,25315,1287,555,27157
135,62919,360267,18413,8321,387001,33459,26681,1408,644,28733
136,68129,389706,19886,8980,418572,36781,29439,1473,659,31571
137,73662,421286,21515,9690,452491,39452,31580,1629,710,33919
138,79899,456012,23222,10472,489706,43452,34726,1707,782,37215
139,86314,493410,25121,11323,529854,46563,37398,1899,851,40148
140,93561,533884,27118,12206,573208,50601,40474,1997,883,43354
141,101328,577360,29374,13173,619907,54466,43476,2256,967,46699
142,109882,624814,31743,14231,670788,59435,47454,2369,1058,50881
143,118794,675368,34394,15382,725144,63268,50554,2651,1151,54356
144,128557,731293,37213,16582,785088,69707,55925,2819,1200,59944
145,138999,790842,40256,17965,849063,74417,59549,3043,1383,63975
146,150366,856585,43578,19480,919643,81947,65743,3322,1515,70580
147,162719,926702,47080,21024,994806,87516,70117,3502,1544,75163
148,176210,1003199,50896,22796,1076891,95576,76497,3816,1772,82085
149,190789,1085354,55157,24656,1165167,102855,82155,4261,1860,88276
150,206522,1174386,59802,26601,1260789,111355,89032,4645,1945,95622
151,223821,1270704,64684,28712,1364100,120610,96318,4882,2111,103311
152,242120,1374349,70021,31053,1475423,129622,103645,5337,2341,111323
153,261987,1487508,75831,33608,1596947,141391,113159,5810,2555,121524
154,283078,1608496,82099,36433,1727028,151172,120988,6268,2825,130081
155,306432,1741144,88912,39493,1869549,165875,132648,6813,3060,142521
156,331373,1883568,96208,42821,2022597,177989,142424,7296,3328,153048
157,358780,2038494,104074,46342,2188910,193720,154926,7866,3521,166313
158,387676,2204462,112731,50124,2367317,207303,165968,8657,3782,178407
159,419748,2386061,121866,54141,2562068,226823,181599,9135,4017,194751
160,453507,2580162,131955,58539,2770656,242347,194101,10089,4398,208588
161,490955,2792480,142945,63330,2998755,265547,212318,10990,4791,228099
162,530710,3020120,154685,68512,3243317,284317,227640,11740,5182,244562
163,574505,3269275,167355,74130,3510760,311238,249155,12670,5618,267443
164,621418,3535404,181076,80238,3796718,332871,266129,13721,6108,285958
165,672449,3826641,195798,86778,4109217,363530,291237,14722,6540,312499
166,727401,4139696,211924,93889,4445509,391244,313055,16126,7111,336292
167,787801,4479846,229199,101558,4810603,425494,340150,17275,7669,365094
168,852060,4845026,248056,109922,5203004,456660,365180,18857,8364,392401
169,923201,5243181,268224,118902,5630307,498444,398155,20168,8980,427303
170,998393,5670800,290362,128689,6089851,534736,427619,22138,9787,459544
171,1081033,6137864,314360,139173,6591397,584186,467064,23998,10484,501546
172,1168691,6640433,339909,150758,7131100,627361,502569,25549,11585,539703
173,1264555,7187023,367857,162935,7717815,682579,546590,27948,12177,586715
174,1367694,7775565,398044,176349,8349958,735282,588542,30187,13414,632143
175,1481423,8416319,430612,190764,9037695,801466,640754,32568,14415,687737
176,1603191,9104661,465856,206424,9776941,861014,688342,35244,15660,739246
177,1735298,9853377,504236,223011,10580624,935790,748716,38380,16587,803683
178,1877522,10660567,545655,241168,11447390,1008990,807190,41419,18157,866766
179,2032201,11540326,590526,260839,12391691,1098980,879759,44871,19671,944301
180,2197713,12483239,639609,282369,13405217,1179038,942913,49083,21530,1013526
181,2379700,13511824,691768,305614,14509206,1285976,1028585,52159,23245,1103989
182,2575097,14618056,748553,330563,15697172,1383363,1106232,56785,24949,1187966
183,2787856,15823616,810277,357898,16991791,1507378,1205560,61724,27335,1294619
184,3015694,17118350,877181,387386,18382917,1618964,1294734,66904,29488,1391126
185,3263937,18529190,949693,419098,19897981,1763307,1410840,72512,31712,1515064
186,3529588,20046530,1027941,453786,21528257,1895927,1517340,78248,34688,1630276
187,3820782,21698493,1112440,490901,23301834,2064771,1651963,84499,37115,1773577
188,4132840,23475037,1204161,531251,25210449,2220673,1776544,91721,40350,1908615
189,4473339,25408114,1303214,574953,27286281,2416331,1933077,99053,43702,2075832
190,4839174,27492226,1410145,622215,29524586,2604140,2084112,106931,47262,2238305
191,5238695,29752194,1525739,673185,31951118,2826053,2259968,115594,50970,2426532
192,5669271,32191495,1650664,728431,34570590,3050048,2439301,124925,55246,2619472
