Timestamp : 13|01_01:00
Mois,Lapins vivants,Nombre de lapin juvéniles morts au total,Nombre de lapin enfant mort au total,Nombre de lapin adulte mort au total,Total de lapins morts,Nombre de naissance par mois,Nombre de lapin juvéniles morts par mois,Nombre de lapin enfant mort par mois,Nombre de lapin adulte mort par mois,Nombre de lapin mort en 1 mois
1,4,0,0,0,0,0,0,0,0,0
2,6,7,0,0,7,9,7,0,0,7
3,5,7,1,0,8,0,0,1,0,1
4,5,17,1,0,18,10,10,0,0,10
5,5,17,1,0,18,0,0,0,0,0
6,6,24,1,0,25,8,7,0,0,7
7,6,24,1,0,25,0,0,0,0,0
8,8,29,1,0,30,7,5,0,0,5
9,7,29,1,1,31,0,0,0,1,1
10,7,34,1,1,36,5,5,0,0,5
11,7,34,1,1,36,0,0,0,0,0
12,10,35,1,1,37,4,1,0,0,1
13,10,39,1,1,41,4,4,0,0,4
14,10,39,1,1,41,0,0,0,0,0
15,11,44,1,1,46,6,5,0,0,5
16,11,44,1,1,46,0,0,0,0,0
17,11,50,1,1,52,6,6,0,0,6
18,11,50,1,1,52,0,0,0,0,0
19,15,60,1,1,62,14,10,0,0,10
20,15,60,1,1,62,0,0,0,0,0
21,18,67,1,1,69,10,7,0,0,7
22,18,71,2,1,74,5,4,1,0,5
23,22,80,2,1,83,13,9,0,0,9
24,21,84,3,2,89,5,4,1,1,6
25,24,94,3,2,99,13,10,0,0,10
26,24,94,3,2,99,0,0,0,0,0
27,26,102,3,3,108,11,8,0,1,9
28,25,102,4,3,109,0,0,1,0,1
29,29,113,4,3,120,15,11,0,0,11
30,30,121,4,3,128,9,8,0,0,8
31,32,141,4,3,148,22,20,0,0,20
32,34,152,4,3,159,13,11,0,0,11
33,39,182,7,3,192,38,30,3,0,33
34,39,189,7,4,200,8,7,0,1,8
35,44,218,7,4,229,34,29,0,0,29
36,44,241,8,4,253,24,23,1,0,24
37,50,275,8,4,287,40,34,0,0,34
38,54,298,8,6,312,29,23,0,2,25
39,59,331,9,6,346,39,33,1,0,34
40,63,355,10,6,371,29,24,1,0,25
41,77,409,11,6,426,69,54,1,0,55
42,81,441,12,7,460,38,32,1,1,34
43,95,495,15,7,517,71,54,3,0,57
44,95,524,19,9,552,35,29,4,2,35
45,102,581,22,10,613,68,57,3,1,61
46,107,611,23,11,645,37,30,1,1,32
47,123,668,24,12,704,75,57,1,1,59
48,126,705,25,13,743,42,37,1,1,39
49,145,775,27,13,815,91,70,2,0,72
50,154,838,28,13,879,73,63,1,0,64
51,170,932,29,16,977,114,94,1,3,98
52,180,1002,34,18,1054,87,70,5,2,77
53,191,1076,39,24,1139,96,74,5,6,85
54,205,1144,41,27,1212,87,68,2,3,73
55,220,1254,45,28,1327,130,110,4,1,115
56,240,1337,49,29,1415,108,83,4,1,88
57,259,1457,57,32,1546,150,120,8,3,131
58,276,1540,60,36,1636,107,83,3,4,90
59,292,1706,73,41,1820,200,166,13,5,184
60,315,1811,78,46,1935,138,105,5,5,115
61,338,1978,82,51,2111,199,167,4,5,176
62,361,2100,89,56,2245,157,122,7,5,134
63,393,2267,96,59,2422,209,167,7,3,177
64,408,2420,107,63,2590,183,153,11,4,168
65,450,2603,114,68,2785,237,183,7,5,195
66,479,2782,125,70,2977,221,179,11,2,192
67,511,2989,134,76,3199,254,207,9,6,222
68,539,3240,150,81,3471,300,251,16,5,272
69,573,3458,163,89,3710,273,218,13,8,239
70,604,3756,176,100,4032,353,298,13,11,322
71,637,4031,188,112,4331,332,275,12,12,299
72,717,4365,194,121,4680,429,334,6,9,349
73,765,4685,213,131,5029,397,320,19,10,349
74,813,5065,235,137,5437,456,380,22,6,408
75,871,5427,256,155,5838,459,362,21,18,401
76,950,5821,279,159,6259,500,394,23,4,421
77,1028,6241,295,164,6700,519,420,16,5,441
78,1108,6721,326,176,7223,603,480,31,12,523
