Timestamp : 13|01_00:58
Mois,Lapins vivants,Nombre de lapin juvéniles morts au total,Nombre de lapin enfant mort au total,Nombre de lapin adulte mort au total,Total de lapins morts,Nombre de naissance par mois,Nombre de lapin juvéniles morts par mois,Nombre de lapin enfant mort par mois,Nombre de lapin adulte mort par mois,Nombre de lapin mort en 1 mois
1,4,0,0,0,0,0,0,0,0,0
2,4,12,0,0,12,12,12,0,0,12
3,4,12,0,0,12,0,0,0,0,0
4,5,17,0,0,17,6,5,0,0,5
5,5,17,0,0,17,0,0,0,0,0
6,7,21,0,0,21,6,4,0,0,4
7,7,21,0,0,21,0,0,0,0,0
8,8,28,0,0,28,8,7,0,0,7
9,5,28,2,1,31,0,0,2,1,3
10,5,34,2,1,37,6,6,0,0,6
11,8,37,2,1,40,6,3,0,0,3
12,8,44,2,1,47,7,7,0,0,7
13,9,49,2,1,52,6,5,0,0,5
14,11,57,2,1,60,10,8,0,0,8
15,11,59,3,1,63,3,2,1,0,3
16,10,59,4,1,64,0,0,1,0,1
17,9,62,5,1,68,3,3,1,0,4
18,9,62,5,1,68,0,0,0,0,0
19,11,78,5,2,85,19,16,0,1,17
20,11,78,5,2,85,0,0,0,0,0
21,14,95,5,2,102,20,17,0,0,17
22,15,105,6,2,113,12,10,1,0,11
23,18,117,6,2,125,15,12,0,0,12
24,20,124,8,2,134,11,7,2,0,9
25,23,133,8,2,143,12,9,0,0,9
26,25,142,8,2,152,11,9,0,0,9
27,27,158,10,2,170,20,16,2,0,18
28,30,171,10,2,183,16,13,0,0,13
29,33,188,11,2,201,21,17,1,0,18
30,33,204,12,2,218,17,16,1,0,17
31,35,234,14,2,250,34,30,2,0,32
32,42,255,14,2,271,28,21,0,0,21
33,48,275,14,2,291,26,20,0,0,20
34,45,303,17,2,322,28,28,3,0,31
35,50,325,17,2,344,27,22,0,0,22
36,54,354,19,2,375,35,29,2,0,31
37,62,384,21,3,408,41,30,2,1,33
38,71,422,22,3,447,48,38,1,0,39
39,73,468,25,5,498,53,46,3,2,51
40,73,504,27,7,538,40,36,2,2,40
41,81,545,31,7,583,53,41,4,0,45
42,88,580,32,8,620,44,35,1,1,37
43,90,645,35,9,689,71,65,3,1,69
44,101,693,35,10,738,60,48,0,1,49
45,112,748,40,10,798,71,55,5,0,60
46,122,790,42,12,844,56,42,2,2,46
47,132,850,44,13,907,73,60,2,1,63
48,137,893,47,20,960,58,43,3,7,53
49,154,949,50,21,1020,77,56,3,1,60
50,169,1008,51,23,1082,77,59,1,2,62
51,181,1082,54,23,1159,89,74,3,0,77
52,198,1167,61,23,1251,109,85,7,0,92
53,221,1258,65,25,1348,120,91,4,2,97
54,234,1363,71,30,1464,129,105,6,5,116
55,254,1478,75,31,1584,140,115,4,1,120
56,277,1611,82,33,1726,165,133,7,2,142
57,305,1743,85,34,1862,164,132,3,1,136
58,337,1882,93,35,2010,180,139,8,1,148
59,355,2025,103,40,2168,176,143,10,5,158
60,387,2218,111,46,2375,239,193,8,6,207
61,407,2413,122,50,2585,230,195,11,4,210
62,448,2627,132,54,2813,269,214,10,4,228
63,481,2813,142,63,3018,238,186,10,9,205
64,527,3052,149,66,3267,295,239,7,3,249
65,571,3285,159,70,3514,291,233,10,4,247
66,620,3578,169,72,3819,354,293,10,2,305
67,675,3850,182,78,4110,346,272,13,6,291
68,727,4173,198,85,4456,398,323,16,7,346
69,798,4516,208,93,4817,432,343,10,8,361
70,875,4894,224,101,5219,479,378,16,8,402
71,937,5314,245,108,5667,510,420,21,7,448
72,1023,5733,266,117,6116,535,419,21,9,449
73,1114,6222,295,127,6644,619,489,29,10,528
74,1222,6720,318,135,7173,637,498,23,8,529
75,1323,7256,344,145,7745,673,536,26,10,572
76,1418,7913,377,162,8452,802,657,33,17,707
77,1563,8573,406,173,9152,845,660,29,11,700
78,1686,9305,442,187,9934,905,732,36,14,782
79,1792,10060,491,207,10758,930,755,49,20,824
80,1939,10931,533,222,11686,1075,871,42,15,928
81,2136,11832,575,240,12647,1158,901,42,18,961
82,2307,12850,632,264,13746,1270,1018,57,24,1099
83,2509,13937,673,293,14903,1359,1087,41,29,1157
84,2670,15075,752,315,16142,1400,1138,79,22,1239
85,2904,16386,823,342,17551,1643,1311,71,27,1409
86,3108,17641,885,378,18904,1557,1255,62,36,1353
87,3358,19219,950,419,20588,1934,1578,65,41,1684
88,3591,20721,1026,460,22207,1852,1502,76,41,1619
89,3917,22495,1099,507,24101,2220,1774,73,47,1894
90,4272,24218,1179,554,25951,2205,1723,80,47,1850
91,4695,26325,1280,596,28201,2673,2107,101,42,2250
92,5048,28376,1390,639,30405,2557,2051,110,43,2204
93,5550,30926,1514,685,33125,3222,2550,124,46,2720
94,5952,33343,1662,750,35755,3032,2417,148,65,2630
95,6480,36074,1809,801,38684,3457,2731,147,51,2929
96,6957,38954,1970,877,41801,3594,2880,161,76,3117
97,7644,42297,2126,944,45367,4253,3343,156,67,3566
98,8158,45723,2320,1026,49069,4216,3426,194,82,3702
99,8859,49680,2506,1106,53292,4924,3957,186,80,4223
100,9562,53707,2738,1198,57643,5054,4027,232,92,4351
101,10377,58294,2960,1296,62550,5722,4587,222,98,4907
102,11221,63108,3182,1415,67705,5999,4814,222,119,5155
103,12219,68478,3449,1536,73463,6756,5370,267,121,5758
104,13153,74024,3749,1664,79437,6908,5546,300,128,5974
105,14250,80145,4084,1807,86036,7696,6121,335,143,6599
106,15361,86544,4411,1965,92920,7995,6399,327,158,6884
107,16649,93621,4770,2122,100513,8881,7077,359,157,7593
108,17939,101311,5166,2299,108776,9553,7690,396,177,8263
109,19389,109675,5621,2493,117789,10463,8364,455,194,9013
110,20970,118822,6091,2696,127609,11401,9147,470,203,9820
111,22665,128578,6589,2943,138110,12196,9756,498,247,10501
112,24472,139348,7128,3201,149677,13374,10770,539,258,11567
113,26463,150527,7725,3449,161701,14015,11179,597,248,12024
114,28656,162822,8359,3714,174895,15387,12295,634,265,13194
115,31110,176191,9026,4002,189219,16778,13369,667,288,14324
116,33666,190457,9732,4354,204543,17880,14266,706,352,15324
117,36320,206033,10601,4715,221349,19460,15576,869,361,16806
118,39156,222763,11462,5092,239317,20804,16730,861,377,17968
119,42318,240901,12458,5525,258884,22729,18138,996,433,19567
120,45915,260132,13410,5996,279538,24251,19231,952,471,20654
121,49661,281740,14437,6462,302639,26847,21608,1027,466,23101
122,53703,304627,15626,6993,327246,28649,22887,1189,531,24607
123,58021,329762,16935,7518,354215,31287,25135,1309,525,26969
124,62715,356533,18326,8161,383020,33499,26771,1391,643,28805
125,67784,385879,19829,8812,414520,36569,29346,1503,651,31500
126,73380,416944,21438,9533,447915,38991,31065,1609,721,33395
127,79477,451114,23168,10272,484554,42736,34170,1730,739,36639
128,85968,487877,25044,11106,524027,45964,36763,1876,834,39473
129,92986,528156,27084,12044,567284,50275,40279,2040,938,43257
130,100615,571354,29337,13025,613716,54061,43198,2253,981,46432
131,108497,617938,31826,14136,663900,58066,46584,2489,1111,50184
132,117345,668485,34420,15282,718187,63135,50547,2594,1146,54287
133,126963,723210,37196,16542,776948,68379,54725,2776,1260,58761
134,137389,781857,40205,17893,839955,73433,58647,3009,1351,63007
135,148773,846247,43489,19363,909099,80528,64390,3284,1470,69144
136,160864,914907,47076,20986,982969,85961,68660,3587,1623,73870
137,173989,990137,50819,22682,1063638,93794,75230,3743,1696,80669
138,188242,1071168,55004,24518,1150690,101305,81031,4185,1836,87052
139,203441,1158648,59431,26550,1244629,109138,87480,4427,2032,93939
140,220208,1253468,64247,28705,1346420,118558,94820,4816,2155,101791
141,238291,1355933,69511,31051,1456495,128158,102465,5264,2346,110075
142,257811,1467156,75203,33539,1575898,138923,111223,5692,2488,119403
143,279019,1587825,81358,36303,1705486,150796,120669,6155,2764,129588
144,301975,1717990,88091,39207,1845288,162758,130165,6733,2904,139802
145,326511,1858674,95419,42412,1996505,175753,140684,7328,3205,151217
146,353144,2011094,103114,45930,2160138,190266,152420,7695,3518,163633
147,382311,2175669,111484,49739,2336892,205921,164575,8370,3809,176754
148,413806,2353319,120509,53783,2527611,222214,177650,9025,4044,190719
149,448160,2546184,130288,58109,2734581,241324,192865,9779,4326,206970
150,484699,2754623,141077,62762,2958462,260420,208439,10789,4653,223881
151,524588,2980827,152677,67784,3201288,282715,226204,11600,5022,242826
152,567519,3225482,165206,73306,3463994,305637,244655,12529,5522,262706
