Timestamp : 13|01_01:06
Mois,Lapins vivants,Nombre de lapin juvéniles morts au total,Nombre de lapin enfant mort au total,Nombre de lapin adulte mort au total,Total de lapins morts,Nombre de naissance par mois,Nombre de lapin juvéniles morts par mois,Nombre de lapin enfant mort par mois,Nombre de lapin adulte mort par mois,Nombre de lapin mort en 1 mois
1,4,0,0,0,0,0,0,0,0,0
2,6,9,0,0,9,11,9,0,0,9
3,6,9,0,0,9,0,0,0,0,0
4,9,16,0,0,16,10,7,0,0,7
5,9,16,0,0,16,0,0,0,0,0
6,9,23,0,0,23,7,7,0,0,7
7,9,23,0,0,23,0,0,0,0,0
8,10,31,0,0,31,9,8,0,0,8
9,13,33,0,0,33,5,2,0,0,2
10,15,38,0,0,38,7,5,0,0,5
11,12,41,2,1,44,3,3,2,1,6
12,13,50,2,1,53,10,9,0,0,9
13,14,54,2,1,57,5,4,0,0,4
14,16,59,2,1,62,7,5,0,0,5
15,16,63,2,1,66,4,4,0,0,4
16,16,64,4,1,69,3,1,2,0,3
17,18,67,4,1,72,5,3,0,0,3
18,19,69,4,1,74,3,2,0,0,2
19,21,76,4,1,81,9,7,0,0,7
20,24,81,4,1,86,8,5,0,0,5
21,26,86,4,1,91,7,5,0,0,5
22,26,100,5,1,106,15,14,1,0,15
23,27,106,6,1,113,8,6,1,0,7
24,31,128,7,2,137,28,22,1,1,24
25,32,146,7,2,155,19,18,0,0,18
26,31,168,8,4,180,24,22,1,2,25
27,35,188,9,4,201,25,20,1,0,21
28,34,206,10,5,221,19,18,1,1,20
29,38,221,10,6,237,20,15,0,1,16
30,39,229,10,7,246,10,8,0,1,9
31,48,258,12,7,277,40,29,2,0,31
32,54,270,13,7,290,19,12,1,0,13
33,63,291,15,8,314,33,21,2,1,24
34,64,310,16,8,334,21,19,1,0,20
35,68,335,16,8,359,29,25,0,0,25
36,71,347,18,8,373,17,12,2,0,14
37,76,388,19,10,417,49,41,1,2,44
38,78,410,20,10,440,25,22,1,0,23
39,89,460,22,10,492,63,50,2,0,52
40,96,503,23,12,538,53,43,1,2,46
41,104,553,26,12,591,61,50,3,0,53
42,106,599,29,13,641,52,46,3,1,50
