Timestamp : 13|01_00:59
Mois,Lapins vivants,Nombre de lapin juvéniles morts au total,Nombre de lapin enfant mort au total,Nombre de lapin adulte mort au total,Total de lapins morts,Nombre de naissance par mois,Nombre de lapin juvéniles morts par mois,Nombre de lapin enfant mort par mois,Nombre de lapin adulte mort par mois,Nombre de lapin mort en 1 mois
1,4,0,0,0,0,0,0,0,0,0
2,6,9,0,0,9,11,9,0,0,9
3,6,9,0,0,9,0,0,0,0,0
4,9,15,0,0,15,9,6,0,0,6
5,9,15,0,0,15,0,0,0,0,0
6,9,25,0,0,25,10,10,0,0,10
7,9,25,0,0,25,0,0,0,0,0
8,11,32,0,0,32,9,7,0,0,7
9,11,36,0,0,36,4,4,0,0,4
10,13,45,0,0,45,11,9,0,0,9
11,17,49,0,0,49,8,4,0,0,4
12,19,60,1,0,61,14,11,1,0,12
13,20,66,2,0,68,8,6,1,0,7
14,19,75,4,0,79,10,9,2,0,11
15,21,83,4,0,87,10,8,0,0,8
16,22,93,4,0,97,11,10,0,0,10
17,23,111,4,0,115,19,18,0,0,18
18,23,116,4,0,120,5,5,0,0,5
19,26,143,5,0,148,31,27,1,0,28
20,27,152,6,0,158,11,9,1,0,10
21,27,179,9,1,189,31,27,3,1,31
22,29,187,9,1,197,10,8,0,0,8
23,32,213,9,1,223,29,26,0,0,26
24,35,218,10,1,229,9,5,1,0,6
25,39,239,10,3,252,27,21,0,2,23
26,41,242,10,4,256,6,3,0,1,4
27,47,267,10,5,282,32,25,0,1,26
28,49,279,10,6,295,15,12,0,1,13
29,52,311,11,8,330,38,32,1,2,35
30,51,318,12,8,338,7,7,1,0,8
31,55,344,12,8,364,30,26,0,0,26
32,55,362,13,9,384,20,18,1,1,20
33,60,399,14,9,422,43,37,1,0,38
34,63,421,14,10,445,26,22,0,1,23
35,75,475,16,11,502,69,54,2,1,57
36,75,503,21,12,536,34,28,5,1,34
37,84,555,23,14,592,65,52,2,2,56
38,89,588,23,14,625,38,33,0,0,33
39,103,644,23,14,681,70,56,0,0,56
40,111,682,24,15,721,48,38,1,1,40
41,134,737,27,15,779,81,55,3,0,58
42,143,777,29,16,822,52,40,2,1,43
