Timestamp : 13|01_01:08
Mois,Lapins vivants,Nombre de lapin juvéniles morts au total,Nombre de lapin enfant mort au total,Nombre de lapin adulte mort au total,Total de lapins morts,Nombre de naissance par mois,Nombre de lapin juvéniles morts par mois,Nombre de lapin enfant mort par mois,Nombre de lapin adulte mort par mois,Nombre de lapin mort en 1 mois
1,4,0,0,0,0,0,0,0,0,0
2,6,5,0,0,5,7,5,0,0,5
3,6,5,0,0,5,0,0,0,0,0
4,8,9,0,0,9,6,4,0,0,4
5,8,9,0,0,9,0,0,0,0,0
6,8,15,0,0,15,6,6,0,0,6
7,8,15,0,0,15,0,0,0,0,0
8,9,28,0,0,28,14,13,0,0,13
9,9,32,0,0,32,4,4,0,0,4
10,11,45,0,0,45,15,13,0,0,13
11,12,54,0,0,54,10,9,0,0,9
12,14,73,0,0,73,21,19,0,0,19
13,14,81,1,0,82,9,8,1,0,9
14,16,89,1,0,90,10,8,0,0,8
15,18,95,1,0,96,8,6,0,0,6
16,18,106,3,0,109,13,11,2,0,13
17,20,115,4,0,119,12,9,1,0,10
18,19,121,6,0,127,7,6,2,0,8
19,25,136,6,0,142,21,15,0,0,15
20,31,145,6,0,151,15,9,0,0,9
21,31,167,9,0,176,25,22,3,0,25
22,29,177,11,0,188,10,10,2,0,12
23,35,214,11,1,226,44,37,0,1,38
24,34,223,12,1,236,9,9,1,0,10
25,39,248,12,2,262,31,25,0,1,26
26,38,263,13,3,279,16,15,1,1,17
27,51,294,13,3,310,44,31,0,0,31
28,53,313,14,3,330,22,19,1,0,20
29,60,353,17,3,373,50,40,3,0,43
30,62,371,19,4,394,23,18,2,1,21
31,75,427,20,4,451,70,56,1,0,57
32,78,440,22,4,466,18,13,2,0,15
33,83,498,25,5,528,67,58,3,1,62
34,88,524,26,5,555,32,26,1,0,27
35,104,578,30,6,614,75,54,4,1,59
36,109,605,32,7,644,35,27,2,1,30
37,127,662,33,8,703,77,57,1,1,59
38,138,683,35,12,730,38,21,2,4,27
39,152,749,37,12,798,82,66,2,0,68
40,152,783,40,14,837,39,34,3,2,39
41,168,851,44,14,909,88,68,4,0,72
42,176,886,47,16,949,48,35,3,2,40
43,197,975,50,17,1042,114,89,3,1,93
44,202,1044,53,21,1118,81,69,3,4,76
45,227,1146,57,26,1229,136,102,4,5,111
46,239,1227,60,26,1313,96,81,3,0,84
47,256,1365,69,27,1461,165,138,9,1,148
48,278,1473,77,31,1581,142,108,8,4,120
49,303,1611,83,32,1726,170,138,6,1,145
50,328,1732,92,35,1859,158,121,9,3,133
51,354,1928,99,40,2067,234,196,7,5,208
52,387,2086,112,41,2239,205,158,13,1,172
53,416,2257,124,44,2425,215,171,12,3,186
