mois,vivants,morts_juv_cum,morts_enf_cum,morts_adult_cum,morts_total_cum,naiss_mois,morts_juv_mois,morts_enf_mois,morts_adult_mois,morts_mois,source_file
1,3,0,0,1,1,0,0,0,1,1,SimulationLapin_192_mois_13|01_00:57_0.csv
2,4,3,0,1,4,4,3,0,0,3,SimulationLapin_192_mois_13|01_00:57_0.csv
3,4,3,0,1,4,0,0,0,0,0,SimulationLapin_192_mois_13|01_00:57_0.csv
4,5,6,0,1,7,4,3,0,0,3,SimulationLapin_192_mois_13|01_00:57_0.csv
5,5,6,0,1,7,0,0,0,0,0,SimulationLapin_192_mois_13|01_00:57_0.csv
6,5,6,0,1,7,0,0,0,0,0,SimulationLapin_192_mois_13|01_00:57_0.csv
7,5,11,0,1,12,5,5,0,0,5,SimulationLapin_192_mois_13|01_00:57_0.csv
8,5,11,0,1,12,0,0,0,0,0,SimulationLapin_192_mois_13|01_00:57_0.csv
9,6,21,0,1,22,11,10,0,0,10,SimulationLapin_192_mois_13|01_00:57_0.csv
10,6,21,0,1,22,0,0,0,0,0,SimulationLapin_192_mois_13|01_00:57_0.csv
11,8,30,0,2,32,12,9,0,1,10,SimulationLapin_192_mois_13|01_00:57_0.csv
12,7,30,1,2,33,0,0,1,0,1,SimulationLapin_192_mois_13|01_00:57_0.csv
13,8,38,2,2,42,10,8,1,0,9,SimulationLapin_192_mois_13|01_00:57_0.csv
14,8,38,2,2,42,0,0,0,0,0,SimulationLapin_192_mois_13|01_00:57_0.csv
15,10,48,2,2,52,12,10,0,0,10,SimulationLapin_192_mois_13|01_00:57_0.csv
16,10,48,2,2,52,0,0,0,0,0,SimulationLapin_192_mois_13|01_00:57_0.csv
17,13,58,3,2,63,14,10,1,0,11,SimulationLapin_192_mois_13|01_00:57_0.csv
18,13,63,3,2,68,5,5,0,0,5,SimulationLapin_192_mois_13|01_00:57_0.csv
19,16,77,3,2,82,17,14,0,0,14,SimulationLapin_192_mois_13|01_00:57_0.csv
20,17,79,3,2,84,3,2,0,0,2,SimulationLapin_192_mois_13|01_00:57_0.csv
21,19,95,3,2,100,18,16,0,0,16,SimulationLapin_192_mois_13|01_00:57_0.csv
22,19,95,3,2,100,0,0,0,0,0,SimulationLapin_192_mois_13|01_00:57_0.csv
23,20,117,4,2,123,24,22,1,0,23,SimulationLapin_192_mois_13|01_00:57_0.csv
24,24,128,5,2,135,16,11,1,0,12,SimulationLapin_192_mois_13|01_00:57_0.csv
25,31,147,5,2,154,26,19,0,0,19,SimulationLapin_192_mois_13|01_00:57_0.csv
26,36,161,6,2,169,20,14,1,0,15,SimulationLapin_192_mois_13|01_00:57_0.csv
27,43,185,6,2,193,31,24,0,0,24,SimulationLapin_192_mois_13|01_00:57_0.csv
28,43,200,9,3,212,19,15,3,1,19,SimulationLapin_192_mois_13|01_00:57_0.csv
29,50,215,10,4,229,24,15,1,1,17,SimulationLapin_192_mois_13|01_00:57_0.csv
30,55,231,10,4,245,21,16,0,0,16,SimulationLapin_192_mois_13|01_00:57_0.csv
31,59,255,11,4,270,29,24,1,0,25,SimulationLapin_192_mois_13|01_00:57_0.csv
32,59,282,13,5,300,30,27,2,1,30,SimulationLapin_192_mois_13|01_00:57_0.csv
33,61,317,15,6,338,40,35,2,1,38,SimulationLapin_192_mois_13|01_00:57_0.csv
34,66,340,17,6,363,30,23,2,0,25,SimulationLapin_192_mois_13|01_00:57_0.csv
35,70,380,18,6,404,45,40,1,0,41,SimulationLapin_192_mois_13|01_00:57_0.csv
36,79,418,19,6,443,48,38,1,0,39,SimulationLapin_192_mois_13|01_00:57_0.csv
37,89,447,19,6,472,39,29,0,0,29,SimulationLapin_192_mois_13|01_00:57_0.csv
38,101,494,20,6,520,60,47,1,0,48,SimulationLapin_192_mois_13|01_00:57_0.csv
39,115,540,20,6,566,60,46,0,0,46,SimulationLapin_192_mois_13|01_00:57_0.csv
40,127,598,23,8,629,75,58,3,2,63,SimulationLapin_192_mois_13|01_00:57_0.csv
41,140,656,26,8,690,74,58,3,0,61,SimulationLapin_192_mois_13|01_00:57_0.csv
42,149,716,31,10,757,76,60,5,2,67,SimulationLapin_192_mois_13|01_00:57_0.csv
43,153,781,35,11,827,74,65,4,1,70,SimulationLapin_192_mois_13|01_00:57_0.csv
44,164,856,41,13,910,94,75,6,2,83,SimulationLapin_192_mois_13|01_00:57_0.csv
45,176,924,45,14,983,85,68,4,1,73,SimulationLapin_192_mois_13|01_00:57_0.csv
46,188,1017,46,19,1082,111,93,1,5,99,SimulationLapin_192_mois_13|01_00:57_0.csv
47,196,1088,50,22,1160,86,71,4,3,78,SimulationLapin_192_mois_13|01_00:57_0.csv
48,208,1188,54,23,1265,117,100,4,1,105,SimulationLapin_192_mois_13|01_00:57_0.csv
49,230,1281,56,23,1360,117,93,2,0,95,SimulationLapin_192_mois_13|01_00:57_0.csv
50,251,1391,59,24,1474,135,110,3,1,114,SimulationLapin_192_mois_13|01_00:57_0.csv
51,288,1519,63,27,1609,172,128,4,3,135,SimulationLapin_192_mois_13|01_00:57_0.csv
52,306,1634,72,29,1735,144,115,9,2,126,SimulationLapin_192_mois_13|01_00:57_0.csv
53,334,1799,80,32,1911,204,165,8,3,176,SimulationLapin_192_mois_13|01_00:57_0.csv
54,363,1945,87,34,2066,184,146,7,2,155,SimulationLapin_192_mois_13|01_00:57_0.csv
55,396,2134,94,37,2265,232,189,7,3,199,SimulationLapin_192_mois_13|01_00:57_0.csv
56,433,2304,101,39,2444,216,170,7,2,179,SimulationLapin_192_mois_13|01_00:57_0.csv
57,460,2536,113,43,2692,275,232,12,4,248,SimulationLapin_192_mois_13|01_00:57_0.csv
58,496,2717,127,46,2890,234,181,14,3,198,SimulationLapin_192_mois_13|01_00:57_0.csv
59,547,2958,142,48,3148,309,241,15,2,258,SimulationLapin_192_mois_13|01_00:57_0.csv
60,594,3222,152,57,3431,330,264,10,9,283,SimulationLapin_192_mois_13|01_00:57_0.csv
61,640,3508,167,62,3737,352,286,15,5,306,SimulationLapin_192_mois_13|01_00:57_0.csv
62,680,3844,179,69,4092,395,336,12,7,355,SimulationLapin_192_mois_13|01_00:57_0.csv
63,722,4184,197,77,4458,408,340,18,8,366,SimulationLapin_192_mois_13|01_00:57_0.csv
64,774,4534,213,87,4834,428,350,16,10,376,SimulationLapin_192_mois_13|01_00:57_0.csv
65,852,4912,228,96,5236,480,378,15,9,402,SimulationLapin_192_mois_13|01_00:57_0.csv
66,922,5274,251,104,5629,463,362,23,8,393,SimulationLapin_192_mois_13|01_00:57_0.csv
67,995,5751,273,119,6143,587,477,22,15,514,SimulationLapin_192_mois_13|01_00:57_0.csv
68,1058,6197,297,134,6628,548,446,24,15,485,SimulationLapin_192_mois_13|01_00:57_0.csv
69,1153,6739,320,142,7201,668,542,23,8,573,SimulationLapin_192_mois_13|01_00:57_0.csv
70,1267,7249,341,157,7747,660,510,21,15,546,SimulationLapin_192_mois_13|01_00:57_0.csv
71,1369,7867,365,168,8400,755,618,24,11,653,SimulationLapin_192_mois_13|01_00:57_0.csv
72,1486,8451,398,180,9029,746,584,33,12,629,SimulationLapin_192_mois_13|01_00:57_0.csv
73,1600,9162,443,188,9793,878,711,45,8,764,SimulationLapin_192_mois_13|01_00:57_0.csv
74,1724,9845,472,207,10524,855,683,29,19,731,SimulationLapin_192_mois_13|01_00:57_0.csv
75,1851,10640,519,229,11388,991,795,47,22,864,SimulationLapin_192_mois_13|01_00:57_0.csv
76,2010,11445,561,245,12251,1022,805,42,16,863,SimulationLapin_192_mois_13|01_00:57_0.csv
77,2186,12399,600,271,13270,1195,954,39,26,1019,SimulationLapin_192_mois_13|01_00:57_0.csv
78,2355,13372,646,291,14309,1208,973,46,20,1039,SimulationLapin_192_mois_13|01_00:57_0.csv
79,2542,14496,708,326,15530,1408,1124,62,35,1221,SimulationLapin_192_mois_13|01_00:57_0.csv
80,2762,15606,757,352,16715,1405,1110,49,26,1185,SimulationLapin_192_mois_13|01_00:57_0.csv
81,2989,16969,818,384,18171,1683,1363,61,32,1456,SimulationLapin_192_mois_13|01_00:57_0.csv
82,3250,18269,877,423,19569,1659,1300,59,39,1398,SimulationLapin_192_mois_13|01_00:57_0.csv
83,3509,19903,965,453,21321,2011,1634,88,30,1752,SimulationLapin_192_mois_13|01_00:57_0.csv
84,3799,21462,1046,491,22999,1968,1559,81,38,1678,SimulationLapin_192_mois_13|01_00:57_0.csv
85,4140,23391,1129,532,25052,2394,1929,83,41,2053,SimulationLapin_192_mois_13|01_00:57_0.csv
86,4466,25212,1214,571,26997,2271,1821,85,39,1945,SimulationLapin_192_mois_13|01_00:57_0.csv
87,4881,27433,1323,606,29362,2780,2221,109,35,2365,SimulationLapin_192_mois_13|01_00:57_0.csv
88,5271,29631,1433,651,31715,2743,2198,110,45,2353,SimulationLapin_192_mois_13|01_00:57_0.csv
89,5701,32157,1567,698,34422,3137,2526,134,47,2707,SimulationLapin_192_mois_13|01_00:57_0.csv
90,6161,34714,1688,755,37157,3195,2557,121,57,2735,SimulationLapin_192_mois_13|01_00:57_0.csv
91,6729,37653,1831,804,40288,3699,2939,143,49,3131,SimulationLapin_192_mois_13|01_00:57_0.csv
92,7263,40704,1974,878,43556,3802,3051,143,74,3268,SimulationLapin_192_mois_13|01_00:57_0.csv
93,7834,44251,2147,951,47349,4364,3547,173,73,3793,SimulationLapin_192_mois_13|01_00:57_0.csv
94,8489,47739,2324,1009,51072,4378,3488,177,58,3723,SimulationLapin_192_mois_13|01_00:57_0.csv
95,9269,51883,2523,1089,55495,5203,4144,199,80,4423,SimulationLapin_192_mois_13|01_00:57_0.csv
96,9975,55914,2735,1190,59839,5050,4031,212,101,4344,SimulationLapin_192_mois_13|01_00:57_0.csv
97,10810,60761,2971,1292,65024,6020,4847,236,102,5185,SimulationLapin_192_mois_13|01_00:57_0.csv
98,11585,65682,3232,1423,70337,6088,4921,261,131,5313,SimulationLapin_192_mois_13|01_00:57_0.csv
99,12558,71289,3497,1540,76326,6962,5607,265,117,5989,SimulationLapin_192_mois_13|01_00:57_0.csv
100,13523,77065,3799,1687,82551,7190,5776,302,147,6225,SimulationLapin_192_mois_13|01_00:57_0.csv
101,14768,83646,4122,1836,89604,8298,6581,323,149,7053,SimulationLapin_192_mois_13|01_00:57_0.csv
102,15980,90283,4454,1993,96730,8338,6637,332,157,7126,SimulationLapin_192_mois_13|01_00:57_0.csv
103,17314,97788,4817,2157,104762,9366,7505,363,164,8032,SimulationLapin_192_mois_13|01_00:57_0.csv
104,18780,105724,5215,2326,113265,9969,7936,398,169,8503,SimulationLapin_192_mois_13|01_00:57_0.csv
105,20289,114600,5682,2538,122820,11064,8876,467,212,9555,SimulationLapin_192_mois_13|01_00:57_0.csv
106,21919,123955,6215,2750,132920,11730,9355,533,212,10100,SimulationLapin_192_mois_13|01_00:57_0.csv
107,23751,134219,6757,2991,143967,12879,10264,542,241,11047,SimulationLapin_192_mois_13|01_00:57_0.csv
108,25591,145165,7344,3239,155748,13621,10946,587,248,11781,SimulationLapin_192_mois_13|01_00:57_0.csv
109,27877,157208,7914,3497,168619,15157,12043,570,258,12871,SimulationLapin_192_mois_13|01_00:57_0.csv
110,30060,170014,8627,3783,182424,15988,12806,713,286,13805,SimulationLapin_192_mois_13|01_00:57_0.csv
111,32538,184121,9361,4103,197585,17639,14107,734,320,15161,SimulationLapin_192_mois_13|01_00:57_0.csv
112,35284,199401,10131,4437,213969,19130,15280,770,334,16384,SimulationLapin_192_mois_13|01_00:57_0.csv
113,38245,215867,10938,4787,231592,20584,16466,807,350,17623,SimulationLapin_192_mois_13|01_00:57_0.csv
114,41453,233731,11850,5172,250753,22369,17864,912,385,19161,SimulationLapin_192_mois_13|01_00:57_0.csv
115,44739,252924,12755,5604,271283,23816,19193,905,432,20530,SimulationLapin_192_mois_13|01_00:57_0.csv
116,48423,273623,13817,6046,293486,25887,20699,1062,442,22203,SimulationLapin_192_mois_13|01_00:57_0.csv
117,52496,296228,14940,6540,317708,28295,22605,1123,494,24222,SimulationLapin_192_mois_13|01_00:57_0.csv
118,56781,320479,16173,7150,343802,30379,24251,1233,610,26094,SimulationLapin_192_mois_13|01_00:57_0.csv
119,61489,347090,17519,7723,372332,33238,26611,1346,573,28530,SimulationLapin_192_mois_13|01_00:57_0.csv
120,66440,375924,18971,8439,403334,35953,28834,1452,716,31002,SimulationLapin_192_mois_13|01_00:57_0.csv
121,71988,406870,20512,9187,436569,38783,30946,1541,748,33235,SimulationLapin_192_mois_13|01_00:57_0.csv
122,77940,440184,22250,9927,472361,41744,33314,1738,740,35792,SimulationLapin_192_mois_13|01_00:57_0.csv
123,84109,476235,24144,10783,511162,44970,36051,1894,856,38801,SimulationLapin_192_mois_13|01_00:57_0.csv
124,90957,515295,26165,11651,553111,48797,39060,2021,868,41949,SimulationLapin_192_mois_13|01_00:57_0.csv
125,98440,557803,28343,12606,598752,53124,42508,2178,955,45641,SimulationLapin_192_mois_13|01_00:57_0.csv
126,106788,603680,30711,13624,648015,57611,45877,2368,1018,49263,SimulationLapin_192_mois_13|01_00:57_0.csv
127,115490,653263,33339,14767,701369,62056,49583,2628,1143,53354,SimulationLapin_192_mois_13|01_00:57_0.csv
128,125162,707463,36023,15968,759454,67757,54200,2684,1201,58085,SimulationLapin_192_mois_13|01_00:57_0.csv
129,135598,765887,38997,17307,822191,73173,58424,2974,1339,62737,SimulationLapin_192_mois_13|01_00:57_0.csv
130,146734,829134,42198,18761,890093,79038,63247,3201,1454,67902,SimulationLapin_192_mois_13|01_00:57_0.csv
131,158710,897289,45710,20344,963343,85226,68155,3512,1583,73250,SimulationLapin_192_mois_13|01_00:57_0.csv
132,171828,971529,49412,21924,1042865,92640,74240,3702,1580,79522,SimulationLapin_192_mois_13|01_00:57_0.csv
133,185869,1052058,53484,23727,1129269,100445,80529,4072,1803,86404,SimulationLapin_192_mois_13|01_00:57_0.csv
134,201236,1139335,57953,25707,1222995,109093,87277,4469,1980,93726,SimulationLapin_192_mois_13|01_00:57_0.csv
135,217992,1233954,62751,27763,1324468,118229,94619,4798,2056,101473,SimulationLapin_192_mois_13|01_00:57_0.csv
136,235406,1335871,68212,30050,1434133,127079,101917,5461,2287,109665,SimulationLapin_192_mois_13|01_00:57_0.csv
137,254890,1446879,73811,32515,1553205,138556,111008,5599,2465,119072,SimulationLapin_192_mois_13|01_00:57_0.csv
138,275825,1565494,79864,35263,1680621,148351,118615,6053,2748,127416,SimulationLapin_192_mois_13|01_00:57_0.csv
139,298516,1694758,86469,38199,1819426,161496,129264,6605,2936,138805,SimulationLapin_192_mois_13|01_00:57_0.csv
140,323045,1833727,93683,41284,1968694,173797,138969,7214,3085,149268,SimulationLapin_192_mois_13|01_00:57_0.csv
141,349741,1985207,101396,44694,2131297,189299,151480,7713,3410,162603,SimulationLapin_192_mois_13|01_00:57_0.csv
142,378393,2148507,109804,48427,2306738,204093,163300,8408,3733,175441,SimulationLapin_192_mois_13|01_00:57_0.csv
143,409826,2325190,118818,52383,2496391,221086,176683,9014,3956,189653,SimulationLapin_192_mois_13|01_00:57_0.csv
144,443270,2515750,128570,56756,2701076,238129,190560,9752,4373,204685,SimulationLapin_192_mois_13|01_00:57_0.csv
145,479422,2722870,139276,61493,2923639,258715,207120,10706,4737,222563,SimulationLapin_192_mois_13|01_00:57_0.csv
146,518912,2946950,150860,66591,3164401,280252,224080,11584,5098,240762,SimulationLapin_192_mois_13|01_00:57_0.csv
147,561614,3189335,163301,72182,3424818,303119,242385,12441,5591,260417,SimulationLapin_192_mois_13|01_00:57_0.csv
148,607563,3452581,176746,78158,3707485,328616,263246,13445,5976,282667,SimulationLapin_192_mois_13|01_00:57_0.csv
149,657929,3736141,191282,84507,4011930,354811,283560,14536,6349,304445,SimulationLapin_192_mois_13|01_00:57_0.csv
150,712077,4043047,207150,91365,4341562,383780,306906,15868,6858,329632,SimulationLapin_192_mois_13|01_00:57_0.csv
151,770941,4376239,224182,98816,4699237,416539,333192,17032,7451,357675,SimulationLapin_192_mois_13|01_00:57_0.csv
152,834374,4735490,242685,106952,5085127,449323,359251,18503,8136,385890,SimulationLapin_192_mois_13|01_00:57_0.csv
153,903288,5125967,262713,115703,5504383,488170,390477,20028,8751,419256,SimulationLapin_192_mois_13|01_00:57_0.csv
154,977362,5548274,284218,125159,5957651,527342,422307,21505,9456,453268,SimulationLapin_192_mois_13|01_00:57_0.csv
155,1057737,6006001,307886,135538,6449425,572149,457727,23668,10379,491774,SimulationLapin_192_mois_13|01_00:57_0.csv
156,1145357,6500603,333271,146635,6980509,618704,494602,25385,11097,531084,SimulationLapin_192_mois_13|01_00:57_0.csv
157,1240300,7034965,360773,158528,7554266,668700,534362,27502,11893,573757,SimulationLapin_192_mois_13|01_00:57_0.csv
158,1341908,7614314,390537,171702,8176553,723895,579349,29764,13174,622287,SimulationLapin_192_mois_13|01_00:57_0.csv
159,1452385,8241242,422484,185753,8849479,783403,626928,31947,14051,672926,SimulationLapin_192_mois_13|01_00:57_0.csv
160,1571329,8918175,457176,200949,9576300,845765,676933,34692,15196,726821,SimulationLapin_192_mois_13|01_00:57_0.csv
161,1701280,9652504,494734,217620,10364858,918509,734329,37558,16671,788558,SimulationLapin_192_mois_13|01_00:57_0.csv
162,1841557,10444840,535355,235482,11215677,991096,792336,40621,17862,850819,SimulationLapin_192_mois_13|01_00:57_0.csv
163,1994022,11304684,579400,254868,12138952,1075740,859844,44045,19386,923275,SimulationLapin_192_mois_13|01_00:57_0.csv
164,2158035,12234022,627252,276017,13137291,1162352,929338,47852,21149,998339,SimulationLapin_192_mois_13|01_00:57_0.csv
165,2335841,13242931,678833,298594,14220358,1260873,1008909,51581,22577,1083067,SimulationLapin_192_mois_13|01_00:57_0.csv
166,2525892,14331097,734885,323498,15389480,1359173,1088166,56052,24904,1169122,SimulationLapin_192_mois_13|01_00:57_0.csv
167,2733767,15510961,795466,350238,16656665,1475060,1179864,60581,26740,1267185,SimulationLapin_192_mois_13|01_00:57_0.csv
168,2957002,16785238,860992,379316,18025546,1592116,1274277,65526,29078,1368881,SimulationLapin_192_mois_13|01_00:57_0.csv
169,3200183,18167495,931877,410472,19509844,1727479,1382257,70885,31156,1484298,SimulationLapin_192_mois_13|01_00:57_0.csv
170,3463175,19659552,1008031,444337,21111920,1865068,1492057,76154,33865,1602076,SimulationLapin_192_mois_13|01_00:57_0.csv
171,3749348,21278923,1090594,480685,22850202,2024455,1619371,82563,36348,1738282,SimulationLapin_192_mois_13|01_00:57_0.csv
172,4057008,23026910,1179992,520349,24727251,2184709,1747987,89398,39664,1877049,SimulationLapin_192_mois_13|01_00:57_0.csv
173,4391722,24920423,1276845,563390,26760658,2368121,1893513,96853,43041,2033407,SimulationLapin_192_mois_13|01_00:57_0.csv
174,4752247,26968815,1382069,609811,28960695,2560562,2048392,105224,46421,2200037,SimulationLapin_192_mois_13|01_00:57_0.csv
175,5142443,29187304,1495809,660264,31343377,2772878,2218489,113740,50453,2382682,SimulationLapin_192_mois_13|01_00:57_0.csv
176,5564526,31587633,1618664,714800,33921097,2999803,2400329,122855,54536,2577720,SimulationLapin_192_mois_13|01_00:57_0.csv
177,6020515,34184104,1751888,773286,36709278,3244170,2596471,133224,58486,2788181,SimulationLapin_192_mois_13|01_00:57_0.csv
178,6515095,36993093,1896265,836664,39726022,3511324,2808989,144377,63378,3016744,SimulationLapin_192_mois_13|01_00:57_0.csv
179,7047591,40035317,2053200,905599,42994116,3800590,3042224,156935,68935,3268094,SimulationLapin_192_mois_13|01_00:57_0.csv
180,7629172,43325691,2221587,979999,46527277,4114742,3290374,168387,74400,3533161,SimulationLapin_192_mois_13|01_00:57_0.csv
181,8255721,46886546,2404085,1060781,50351412,4450684,3560855,182498,80782,3824135,SimulationLapin_192_mois_13|01_00:57_0.csv
182,8935327,50738627,2601740,1147554,54487921,4816115,3852081,197655,86773,4136509,SimulationLapin_192_mois_13|01_00:57_0.csv
183,9669011,54904483,2815860,1241578,58961921,5207684,4165856,214120,94024,4474000,SimulationLapin_192_mois_13|01_00:57_0.csv
184,10463919,59415527,3046603,1343307,63805437,5638424,4511044,230743,101729,4843516,SimulationLapin_192_mois_13|01_00:57_0.csv
185,11320698,64290466,3298379,1453017,69041862,6093204,4874939,251776,109710,5236425,SimulationLapin_192_mois_13|01_00:57_0.csv
186,12249591,69575602,3569491,1572399,74717492,6604523,5285136,271112,119382,5675630,SimulationLapin_192_mois_13|01_00:57_0.csv
187,13253459,75285828,3862619,1701852,80850299,7136675,5710226,293128,129453,6132807,SimulationLapin_192_mois_13|01_00:57_0.csv
188,14342743,81478020,4178833,1842210,87499063,7738048,6192192,316214,140358,6648764,SimulationLapin_192_mois_13|01_00:57_0.csv
189,15519330,88166848,4521315,1993940,94682103,8359627,6688828,342482,151730,7183040,SimulationLapin_192_mois_13|01_00:57_0.csv
190,16795861,95417467,4892448,2158496,102468411,9062839,7250619,371133,164556,7786308,SimulationLapin_192_mois_13|01_00:57_0.csv
191,18173091,103243634,5294415,2335868,110873917,9782736,7826167,401967,177372,8405506,SimulationLapin_192_mois_13|01_00:57_0.csv
192,19666356,111730125,5729238,2528447,119987810,10607158,8486491,434823,192579,9113893,SimulationLapin_192_mois_13|01_00:57_0.csv
1,4,0,0,0,0,0,0,0,0,0,SimulationLapin_192_mois_13|01_00:58_1.csv
2,6,5,0,0,5,7,5,0,0,5,SimulationLapin_192_mois_13|01_00:58_1.csv
3,6,5,0,0,5,0,0,0,0,0,SimulationLapin_192_mois_13|01_00:58_1.csv
4,9,11,0,0,11,9,6,0,0,6,SimulationLapin_192_mois_13|01_00:58_1.csv
5,9,11,0,0,11,0,0,0,0,0,SimulationLapin_192_mois_13|01_00:58_1.csv
6,11,17,0,0,17,8,6,0,0,6,SimulationLapin_192_mois_13|01_00:58_1.csv
7,11,17,0,0,17,0,0,0,0,0,SimulationLapin_192_mois_13|01_00:58_1.csv
8,12,24,0,0,24,8,7,0,0,7,SimulationLapin_192_mois_13|01_00:58_1.csv
9,12,24,0,0,24,0,0,0,0,0,SimulationLapin_192_mois_13|01_00:58_1.csv
10,14,31,0,0,31,9,7,0,0,7,SimulationLapin_192_mois_13|01_00:58_1.csv
11,14,31,0,0,31,0,0,0,0,0,SimulationLapin_192_mois_13|01_00:58_1.csv
12,16,38,0,1,39,10,7,0,1,8,SimulationLapin_192_mois_13|01_00:58_1.csv
13,16,38,0,1,39,0,0,0,0,0,SimulationLapin_192_mois_13|01_00:58_1.csv
14,19,44,0,1,45,9,6,0,0,6,SimulationLapin_192_mois_13|01_00:58_1.csv
15,19,46,1,1,48,3,2,1,0,3,SimulationLapin_192_mois_13|01_00:58_1.csv
16,19,50,2,1,53,5,4,1,0,5,SimulationLapin_192_mois_13|01_00:58_1.csv
17,19,53,2,2,57,4,3,0,1,4,SimulationLapin_192_mois_13|01_00:58_1.csv
18,20,57,2,2,61,5,4,0,0,4,SimulationLapin_192_mois_13|01_00:58_1.csv
19,21,64,3,2,69,9,7,1,0,8,SimulationLapin_192_mois_13|01_00:58_1.csv
20,24,65,3,3,71,5,1,0,1,2,SimulationLapin_192_mois_13|01_00:58_1.csv
21,23,74,5,3,82,10,9,2,0,11,SimulationLapin_192_mois_13|01_00:58_1.csv
22,23,83,5,3,91,9,9,0,0,9,SimulationLapin_192_mois_13|01_00:58_1.csv
23,24,92,7,3,102,12,9,2,0,11,SimulationLapin_192_mois_13|01_00:58_1.csv
24,26,97,7,3,107,7,5,0,0,5,SimulationLapin_192_mois_13|01_00:58_1.csv
25,27,109,7,4,120,14,12,0,1,13,SimulationLapin_192_mois_13|01_00:58_1.csv
26,29,117,7,4,128,10,8,0,0,8,SimulationLapin_192_mois_13|01_00:58_1.csv
27,31,132,7,4,143,17,15,0,0,15,SimulationLapin_192_mois_13|01_00:58_1.csv
28,31,136,8,4,148,5,4,1,0,5,SimulationLapin_192_mois_13|01_00:58_1.csv
29,35,148,8,4,160,16,12,0,0,12,SimulationLapin_192_mois_13|01_00:58_1.csv
30,33,151,9,6,166,4,3,1,2,6,SimulationLapin_192_mois_13|01_00:58_1.csv
31,37,170,9,6,185,23,19,0,0,19,SimulationLapin_192_mois_13|01_00:58_1.csv
32,37,174,10,7,191,6,4,1,1,6,SimulationLapin_192_mois_13|01_00:58_1.csv
33,47,190,10,7,207,26,16,0,0,16,SimulationLapin_192_mois_13|01_00:58_1.csv
34,46,194,11,8,213,5,4,1,1,6,SimulationLapin_192_mois_13|01_00:58_1.csv
35,50,212,12,8,232,23,18,1,0,19,SimulationLapin_192_mois_13|01_00:58_1.csv
36,52,216,13,8,237,7,4,1,0,5,SimulationLapin_192_mois_13|01_00:58_1.csv
37,55,240,14,8,262,28,24,1,0,25,SimulationLapin_192_mois_13|01_00:58_1.csv
38,56,253,14,8,275,14,13,0,0,13,SimulationLapin_192_mois_13|01_00:58_1.csv
39,61,278,15,10,303,33,25,1,2,28,SimulationLapin_192_mois_13|01_00:58_1.csv
40,64,290,16,10,316,16,12,1,0,13,SimulationLapin_192_mois_13|01_00:58_1.csv
41,70,325,17,10,352,42,35,1,0,36,SimulationLapin_192_mois_13|01_00:58_1.csv
42,72,342,19,11,372,22,17,2,1,20,SimulationLapin_192_mois_13|01_00:58_1.csv
43,81,384,20,13,417,54,42,1,2,45,SimulationLapin_192_mois_13|01_00:58_1.csv
44,87,404,22,15,441,30,20,2,2,24,SimulationLapin_192_mois_13|01_00:58_1.csv
45,92,448,23,18,489,53,44,1,3,48,SimulationLapin_192_mois_13|01_00:58_1.csv
46,97,469,24,19,512,28,21,1,1,23,SimulationLapin_192_mois_13|01_00:58_1.csv
47,100,518,28,19,565,56,49,4,0,53,SimulationLapin_192_mois_13|01_00:58_1.csv
48,99,539,30,19,588,22,21,2,0,23,SimulationLapin_192_mois_13|01_00:58_1.csv
49,111,602,31,19,652,76,63,1,0,64,SimulationLapin_192_mois_13|01_00:58_1.csv
50,117,621,32,21,674,28,19,1,2,22,SimulationLapin_192_mois_13|01_00:58_1.csv
51,129,694,34,24,752,90,73,2,3,78,SimulationLapin_192_mois_13|01_00:58_1.csv
52,137,747,35,26,808,64,53,1,2,56,SimulationLapin_192_mois_13|01_00:58_1.csv
53,150,845,37,26,908,113,98,2,0,100,SimulationLapin_192_mois_13|01_00:58_1.csv
54,162,907,40,26,973,77,62,3,0,65,SimulationLapin_192_mois_13|01_00:58_1.csv
55,177,1014,44,28,1086,128,107,4,2,113,SimulationLapin_192_mois_13|01_00:58_1.csv
56,182,1085,50,30,1165,84,71,6,2,79,SimulationLapin_192_mois_13|01_00:58_1.csv
57,200,1180,55,32,1267,120,95,5,2,102,SimulationLapin_192_mois_13|01_00:58_1.csv
58,216,1267,61,33,1361,110,87,6,1,94,SimulationLapin_192_mois_13|01_00:58_1.csv
59,231,1383,69,33,1485,139,116,8,0,124,SimulationLapin_192_mois_13|01_00:58_1.csv
60,246,1493,75,35,1603,133,110,6,2,118,SimulationLapin_192_mois_13|01_00:58_1.csv
61,267,1634,76,40,1750,168,141,1,5,147,SimulationLapin_192_mois_13|01_00:58_1.csv
62,282,1746,85,44,1875,140,112,9,4,125,SimulationLapin_192_mois_13|01_00:58_1.csv
63,325,1880,92,44,2016,184,134,7,0,141,SimulationLapin_192_mois_13|01_00:58_1.csv
64,338,1997,106,46,2149,146,117,14,2,133,SimulationLapin_192_mois_13|01_00:58_1.csv
65,354,2210,116,53,2379,246,213,10,7,230,SimulationLapin_192_mois_13|01_00:58_1.csv
66,379,2355,125,58,2538,184,145,9,5,159,SimulationLapin_192_mois_13|01_00:58_1.csv
67,415,2545,132,62,2739,237,190,7,4,201,SimulationLapin_192_mois_13|01_00:58_1.csv
68,459,2684,136,66,2886,191,139,4,4,147,SimulationLapin_192_mois_13|01_00:58_1.csv
