mois,moy_vivants,moy_naiss_mois,moy_morts_mois,moy_morts_juv_mois,moy_morts_enf_mois,moy_morts_adult_mois,med_vivants,std_vivants
86,4103.65625,2208.9375,1900.40625,1768.75,89.5,42.15625,4106.0,1703.3443686130934
87,4443.21875,2397.46875,2057.90625,1917.90625,98.25,41.75,4484.0,1830.0401077294557
88,4801.3125,2577.96875,2219.875,2063.1875,107.84375,48.84375,4824.0,1989.4500722168802
89,5197.3125,2789.125,2393.125,2228.34375,113.9375,50.84375,5243.0,2145.4868683689842
90,5615.03125,3024.375,2606.65625,2426.53125,124.28125,55.84375,5653.5,2320.567178573686
91,6080.46875,3299.9375,2834.5,2637.53125,137.375,59.59375,6170.5,2503.6113664112163
92,6580.46875,3530.4375,3030.4375,2831.1875,137.46875,61.78125,6681.5,2720.497415276008
93,7119.8125,3873.625,3334.28125,3105.75,159.375,69.15625,7251.5,2928.4117435640346
94,7700.8125,4119.90625,3538.90625,3295.84375,169.0,74.0625,7809.5,3173.599262248425
95,8340.09375,4513.59375,3874.3125,3613.75,181.96875,78.59375,8493.5,3419.411502358401
96,9017.28125,4835.46875,4158.28125,3870.0625,197.9375,90.28125,9177.5,3720.254697550752
97,9768.96875,5282.0,4530.3125,4219.6875,213.34375,97.28125,9921.5,4028.1007891776285
98,10557.90625,5657.46875,4868.53125,4529.75,236.8125,101.96875,10698.0,4360.054847414301
99,11428.03125,6179.78125,5309.65625,4942.5625,253.84375,113.25,11629.5,4695.472223884775
100,12359.1875,6599.5,5668.34375,5271.90625,273.4375,123.0,12553.0,5104.195280829657
101,13391.25,7228.09375,6196.03125,5771.6875,294.71875,129.625,13661.5,5515.83461499708
102,14494.03125,7752.59375,6649.8125,6190.53125,316.5,142.78125,14692.0,5985.348034389766
103,15691.28125,8443.1875,7245.9375,6747.6875,345.5625,152.6875,15912.0,6450.995394289818
104,16948.65625,9062.78125,7805.40625,7266.09375,372.6875,166.625,17126.5,6999.62717582772
105,18341.53125,9901.3125,8508.4375,7921.0625,407.46875,179.90625,18504.0,7555.0834872305295
106,19846.625,10656.71875,9151.625,8521.34375,438.09375,192.1875,20026.5,8204.208747458526
107,21477.875,11593.75,9962.5,9274.65625,476.03125,211.8125,21715.5,8862.966404335231
108,23212.28125,12467.0625,10732.65625,9983.25,521.15625,228.25,23424.0,9607.635375816904
109,25150.5,13588.71875,11650.5,10860.8125,543.875,245.8125,25396.0,10397.523064412982
110,27191.40625,14614.3125,12573.40625,11698.71875,608.96875,265.71875,27394.0,11259.376628113607
111,29437.46875,15881.71875,13635.65625,12697.53125,649.75,288.375,29735.0,12175.630679210151
112,31850.875,17120.3125,14706.90625,13695.78125,703.15625,307.96875,32120.0,13195.608463969178
113,34475.59375,18616.71875,15992.0,14895.15625,763.90625,332.9375,34880.0,14266.917501380982
114,37299.875,20035.15625,17210.875,16017.15625,828.84375,364.875,37652.5,15460.034661486858
115,40402.15625,21778.65625,18676.375,17403.1875,884.59375,388.59375,40773.0,16729.70536596015
116,43698.65625,23428.125,20131.625,18739.4375,968.5625,423.625,44175.5,18086.349546359153
117,47307.09375,25513.46875,21905.03125,20396.09375,1047.15625,461.78125,47764.5,19573.249590256106
118,51140.59375,27423.875,23590.375,21953.5625,1137.5,499.3125,51663.0,21138.538840319852
119,55349.0625,29900.9375,25692.46875,23931.8125,1227.59375,533.0625,55930.0,22896.161132842633
120,59913.84375,32170.5,27605.71875,25700.40625,1319.1875,586.125,60473.5,24797.483948867393
121,64820.28125,34952.78125,30046.34375,27977.8125,1429.09375,639.4375,65462.5,26845.66953117669
122,70137.8125,37669.46875,32351.9375,30108.40625,1564.8125,678.71875,70810.5,28998.584438983293
123,75886.90625,40852.625,35103.53125,32688.84375,1673.59375,741.09375,76653.5,31371.81291816686
124,82054.75,44135.75,37967.90625,35326.875,1835.28125,805.75,82997.5,33914.67740521794
125,88806.5625,47907.96875,41156.15625,38345.4375,1959.03125,851.6875,89788.0,36752.349870397324
