Timestamp : 12|11_08:56
Mois,Lapins vivants,Lapins morts
1,4,0
2,6,8
3,6,8
4,7,16
5,7,16
6,11,19
7,11,19
8,15,30
9,14,31
10,16,38
11,15,43
12,19,56
13,21,59
14,21,75
15,21,78
16,23,87
17,22,99
18,24,113
19,23,128
20,26,141
21,26,156
22,28,173
23,33,182
24,37,197
25,38,210
26,43,228
27,45,234
28,47,254
29,49,265
30,54,287
31,55,300
32,60,322
33,67,339
34,73,371
35,75,387
36,78,427
37,84,456
38,90,512
39,90,553
40,98,599
41,108,654
42,117,706
43,127,757
44,130,809
45,148,877
46,156,935
47,173,1030
48,178,1091
49,190,1193
50,212,1285
51,225,1377
52,242,1497
53,255,1609
54,283,1762
55,300,1889
56,323,2075
57,345,2234
58,385,2428
59,395,2596
60,435,2823
61,444,3002
62,477,3273
63,510,3464
64,573,3772
65,616,3999
66,683,4361
67,742,4646
68,792,5027
69,849,5361
70,918,5766
71,993,6171
72,1058,6656
73,1165,7171
74,1231,7683
75,1334,8314
76,1430,8867
77,1558,9615
78,1660,10249
79,1809,11099
80,1912,11906
81,2048,12858
82,2198,13825
83,2399,14976
84,2591,16142
85,2835,17462
86,3032,18768
87,3279,20349
88,3508,21834
89,3847,23662
90,4128,25425
91,4528,27618
92,4871,29804
93,5295,32303
94,5729,34782
95,6235,37806
96,6724,40775
97,7286,44250
98,7881,47839
99,8500,51938
100,9209,56175
101,9976,60864
102,10808,65949
103,11755,71334
104,12726,77355
105,13695,83739
106,14844,90690
107,16082,97973
108,17644,106037
109,19021,114762
110,20693,124479
111,22285,134845
112,24171,146066
113,26086,158200
114,28281,171469
115,30599,185577
116,33137,200934
117,35879,217640
118,38933,235922
119,42311,255435
120,45762,276849
121,49500,299822
122,53718,325081
123,57921,351877
124,62731,381433
125,68006,413013
126,73651,447483
127,79758,484559
128,86458,524661
129,93473,568380
130,101261,615715
131,109615,666916
132,118678,722515
133,128428,782904
134,139511,847893
135,151212,918173
136,163773,994479
137,177169,1077086
138,192076,1166670
139,208032,1263286
140,225088,1368181
141,243897,1481807
142,264070,1604646
143,286058,1738684
144,309639,1883510
145,335195,2040334
146,363316,2210027
147,393928,2393487
148,426803,2591679
149,462340,2807133
150,500691,3039668
151,541995,3291625
152,586794,3563625
153,635509,3859658
154,688339,4179252
155,746068,4527494
156,808237,4902214
157,875778,5309748
158,948866,5749470
159,1027592,6229100
160,1112951,6746636
161,1205845,7308815
162,1306165,7916748
163,1414524,8575928
164,1533053,9291053
165,1660982,10063504
166,1799608,10902059
167,1949248,11810922
168,2109923,12795527
169,2286378,13862307
170,2476686,15016475
171,2683002,16267675
172,2906619,17622299
173,3148326,19090489
174,3409111,20680517
175,3691557,22402036
176,3998736,24266355
177,4332805,26286430
178,4693522,28469365
179,5084904,30842262
180,5507664,33408009
181,5966457,36190292
182,6461675,39199011
183,7000189,42462312
184,7581240,45997511
185,8212065,49828935
186,8894629,53973074
187,9636030,58462037
188,10436072,63324881
189,11305725,68593667
190,12245247,74296419
191,13265671,80484066
192,14371562,87180302
