Timestamp : 12|11_08:52
Mois,Lapins vivants,Lapins morts
1,4,0
2,7,6
3,7,6
4,8,15
5,8,15
6,8,21
7,8,21
8,12,29
9,12,29
10,15,39
11,15,39
12,16,51
13,15,52
14,20,61
15,19,62
16,19,75
17,19,81
18,25,96
19,28,103
20,29,114
21,31,123
22,33,138
23,35,149
24,37,165
25,44,190
26,46,206
27,52,231
28,60,247
29,63,280
30,69,303
31,72,342
32,74,370
33,79,406
34,83,444
35,92,471
36,94,497
37,101,542
38,103,581
39,119,640
40,125,681
41,133,745
42,146,798
43,158,882
44,167,950
45,170,1051
46,180,1120
47,195,1233
48,214,1318
49,245,1425
50,264,1553
51,285,1677
52,314,1797
53,348,1946
54,372,2100
55,411,2286
56,437,2488
57,476,2732
58,509,2975
59,543,3232
60,574,3523
61,622,3780
62,668,4117
63,711,4419
64,764,4846
65,821,5239
66,891,5705
67,968,6123
68,1063,6678
69,1151,7188
70,1251,7799
71,1363,8428
72,1487,9090
73,1606,9794
74,1762,10597
75,1928,11426
76,2076,12351
77,2203,13351
78,2405,14516
79,2605,15696
80,2871,17119
81,3104,18504
82,3393,20178
83,3621,21758
84,3934,23738
85,4263,25603
86,4655,27824
87,4990,30071
88,5402,32724
89,5818,35560
90,6300,38592
91,6754,41798
92,7357,45271
93,7961,48946
94,8646,52946
95,9338,57366
96,10118,62289
97,10949,67365
98,11878,73094
99,12842,79115
100,13945,85843
101,15161,92773
102,16489,100609
103,17870,108923
104,19436,117898
105,21100,127517
106,22829,138332
107,24721,149810
108,26809,162260
109,29027,175724
110,31512,190306
111,34193,206308
112,37007,223484
113,40126,242279
114,43575,262507
115,47357,284637
116,51219,308585
117,55499,334611
118,60034,362567
119,64981,393021
120,70453,425850
121,76209,461565
122,82582,500415
123,89541,542176
124,97174,587565
125,105168,636368
126,113731,689929
127,123172,747556
128,133340,809848
129,144161,877281
130,155864,949681
131,169028,1028277
132,182882,1113801
133,198151,1206237
134,214805,1306084
135,232922,1414551
136,252365,1531636
137,273441,1658693
138,296144,1796306
139,321053,1945933
140,347024,2107593
141,375728,2283344
142,406686,2472137
143,441021,2677397
144,477576,2899895
145,517447,3141232
146,560462,3402810
147,607065,3685697
148,657400,3991241
149,712162,4322266
150,771412,4679867
151,835279,5068009
152,905387,5488853
153,980631,5943882
154,1061673,6437486
155,1149286,6971778
156,1244944,7551045
157,1348315,8178042
158,1459915,8857625
159,1581257,9593950
160,1712646,10392609
161,1855552,11255910
162,2010578,12191384
163,2177273,13204193
164,2358534,14301536
165,2554921,15493105
166,2767592,16781768
167,2998329,18180740
168,3247017,19694255
169,3517572,21336401
170,3810311,23109192
171,4127732,25033471
172,4469858,27114948
173,4841722,29372375
174,5243330,31815551
175,5677628,34464811
176,6150476,37325800
177,6662790,40432438
178,7218137,43795008
179,7817544,47439707
180,8469004,51387152
181,9173221,55659535
182,9935600,60288518
183,10764189,65300285
184,11657310,70732723
185,12626024,76621636
186,13676767,82994502
187,14814972,89896635
188,16049751,97377971
189,17387337,105470545
190,18837104,114241620
191,20403893,123741362
192,22102415,134040901
