Timestamp : 11|12_16:22
Mois,Lapins vivants,Lapins morts
1,4,0
2,7,6
3,7,6
4,12,13
5,12,13
6,13,21
7,13,21
8,15,33
9,16,38
10,15,55
11,20,64
12,26,75
13,30,85
14,35,95
15,40,101
16,42,119
17,43,138
18,44,152
19,50,190
20,55,202
21,71,253
22,71,281
23,88,332
24,90,362
25,100,431
26,105,467
27,117,531
28,118,572
29,139,646
30,143,691
31,150,780
32,154,856
33,175,956
34,184,1059
35,213,1184
36,232,1279
37,253,1422
38,259,1529
39,290,1695
40,307,1815
41,344,2006
42,366,2177
43,401,2418
44,435,2585
45,485,2825
46,517,3032
47,574,3332
48,607,3609
49,663,3941
50,713,4278
51,793,4678
52,868,5085
53,945,5565
54,1020,6079
55,1100,6591
56,1205,7148
57,1299,7751
58,1396,8407
59,1496,9119
60,1609,9872
61,1726,10794
62,1876,11653
63,2051,12661
64,2215,13678
65,2405,14811
66,2587,16053
67,2807,17403
68,3049,18846
69,3319,20404
70,3619,22044
71,3906,23849
72,4179,25836
73,4502,27929
74,4891,30064
75,5291,32450
76,5761,35118
77,6243,37978
78,6743,40995
79,7261,44428
80,7828,47940
81,8501,51772
82,9174,55862
83,9997,60507
84,10716,65244
85,11590,70767
86,12587,76424
87,13695,82832
88,14733,89590
89,15984,97244
90,17249,104957
91,18698,113793
92,20200,123082
93,21926,133472
94,23704,144432
95,25722,156411
96,27858,169151
97,30112,183293
98,32494,198150
99,35234,214596
100,38049,232255
101,41076,251537
102,44547,272088
103,48240,294409
104,52374,318682
105,56724,344604
106,61571,373539
107,66739,403743
108,72327,437578
109,77892,473203
110,84644,512698
111,91365,554687
112,99183,601428
113,107284,650424
114,116439,705381
115,126137,763367
116,136435,827583
117,147654,895151
118,160248,970416
119,173634,1050280
120,188374,1138642
121,203832,1233094
122,220791,1336237
123,239267,1446881
124,259094,1567872
125,280476,1698529
126,303847,1840438
127,329257,1994433
128,356756,2160662
129,386616,2340793
130,419016,2536907
131,454013,2747500
132,492003,2977193
133,532830,3224194
134,577355,3493115
135,624884,3783640
136,676500,4099021
137,732823,4438845
138,794313,4809576
139,859763,5208361
140,931649,5644485
141,1009129,6111233
142,1093453,6623311
143,1183798,7171859
144,1283338,7770409
145,1389304,8415962
146,1505079,9118731
147,1628810,9875443
148,1765916,10697191
149,1912487,11584278
150,2072439,12551672
151,2243576,13595354
152,2430458,14730791
153,2631899,15954887
154,2852308,17284665
155,3089717,18720242
156,3347031,20281579
157,3624146,21970201
158,3925784,23801615
159,4252063,25780745
160,4605990,27929334
161,4989301,30250978
162,5404265,32771234
163,5853482,35496159
164,6340767,38448936
165,6867097,41646377
166,7436084,45105653
167,8053935,48861701
168,8722393,52925607
169,9448831,57332629
170,10237431,62094146
171,11091069,67265292
172,12012891,72851265
173,13012955,78915792
174,14091228,85472547
175,15264332,92586423
176,16531500,100278917
177,17911052,108635562
178,19399036,117664858
179,21017748,127462397
180,22765656,138055619
