Timestamp : 12|11_09:10
Mois,Lapins vivants,Lapins morts
1,4,0
2,5,6
3,5,6
4,6,13
5,6,13
6,6,20
7,5,21
8,8,29
9,8,29
10,9,35
11,9,35
12,12,43
13,12,43
14,17,55
15,16,56
16,18,65
17,18,65
18,19,82
19,18,87
20,21,100
21,21,113
22,22,128
23,25,144
24,29,158
25,31,171
26,34,181
27,37,193
28,38,211
29,40,228
30,40,244
31,43,256
32,45,277
33,46,306
34,49,333
35,53,356
36,57,385
37,62,418
38,70,451
39,80,487
40,86,513
41,92,556
42,94,585
43,100,632
44,102,668
45,118,722
46,125,761
47,134,839
48,141,888
49,161,969
50,173,1030
51,197,1115
52,210,1192
53,221,1295
54,242,1394
55,265,1521
56,291,1645
57,318,1787
58,352,1933
59,374,2086
60,401,2255
61,411,2472
62,446,2701
63,468,2932
64,529,3194
65,572,3460
66,628,3767
67,684,4065
68,725,4409
69,792,4739
70,876,5138
71,940,5548
72,1028,6049
73,1124,6511
74,1229,7077
75,1307,7659
76,1431,8322
77,1565,9003
78,1702,9822
79,1842,10751
80,1985,11643
81,2145,12635
82,2341,13712
83,2534,14858
84,2703,16099
85,2931,17576
86,3160,19075
87,3453,20737
88,3705,22368
89,4044,24291
90,4366,26232
91,4768,28486
92,5118,30720
93,5526,33345
94,6036,36060
95,6558,39090
96,7053,42345
97,7648,45940
98,8198,49835
99,8876,54011
100,9628,58401
101,10425,63365
102,11211,68609
103,12129,74490
104,13119,80576
105,14249,87283
106,15469,94599
107,16775,102371
108,18286,110832
109,19813,119867
110,21403,129906
111,23149,140531
112,25175,152145
113,27315,164909
114,29580,178639
115,32127,193337
116,34853,209681
117,37709,227259
118,40770,246563
119,44149,266781
120,48016,289465
121,52007,313325
122,56425,339978
123,61150,368142
124,66378,399425
125,72052,432437
126,78170,468719
127,84602,507425
128,91506,550215
129,99129,595783
130,107509,645895
131,116309,699665
132,126046,759140
133,136119,822423
134,147597,892209
135,159678,966566
136,173052,1047460
137,187547,1134658
138,203125,1229589
139,219972,1331657
140,239095,1442538
141,258701,1562884
142,280572,1693099
143,303728,1833572
144,329109,1986389
145,356559,2151022
146,386343,2331175
147,418525,2524718
148,453406,2736375
149,490469,2963828
150,531541,3211968
151,575770,3478294
152,623487,3769064
153,675873,4082652
154,732320,4423115
155,793104,4792238
156,859053,5192353
157,930305,5625560
158,1007942,6095417
159,1091342,6603563
160,1182018,7155189
161,1280488,7751033
162,1386970,8397279
163,1502344,9098143
164,1627628,9856781
165,1763004,10676241
166,1909536,11566344
167,2068746,12526749
168,2241049,13571892
169,2426492,14700100
170,2628490,15926769
171,2845807,17250753
172,3083794,18690157
173,3340139,20245236
174,3618367,21931782
175,3920422,23755481
176,4246042,25731942
177,4598413,27874965
178,4981685,30194829
179,5395246,32709609
180,5845528,35432261
