Timestamp : 12|11_09:06
Mois,Lapins vivants,Lapins morts
1,4,0
2,8,5
3,8,5
4,8,15
5,8,15
6,9,25
7,9,25
8,11,27
9,11,30
10,12,32
11,13,35
12,18,45
13,18,54
14,21,68
15,21,80
16,27,89
17,28,101
18,34,123
19,37,134
20,44,156
21,44,175
22,58,202
23,58,219
24,60,254
25,60,271
26,66,346
27,60,368
28,78,436
29,82,447
30,102,523
31,100,554
32,106,639
33,117,689
34,128,770
35,129,832
36,148,923
37,156,988
38,177,1079
39,184,1167
40,196,1254
41,218,1371
42,240,1439
43,252,1591
44,274,1720
45,303,1864
46,331,2005
47,365,2203
48,394,2367
49,433,2580
50,461,2778
51,505,2978
52,538,3176
53,576,3426
54,609,3634
55,659,3964
56,699,4233
57,765,4644
58,812,4947
59,897,5413
60,937,5798
61,1013,6324
62,1073,6760
63,1173,7361
64,1254,7882
65,1403,8591
66,1502,9179
67,1676,10076
68,1750,10762
69,1895,11796
70,1995,12582
71,2194,13763
72,2332,14799
73,2573,16169
74,2754,17384
75,3005,18832
76,3202,20229
77,3482,21820
78,3762,23455
79,4112,25304
80,4400,27279
81,4749,29447
82,5150,31771
83,5539,34326
84,5982,37089
85,6475,40035
86,7009,43350
87,7605,46826
88,8249,50661
89,8895,54768
90,9679,59328
91,10462,64077
92,11320,69332
93,12198,74912
94,13197,81164
95,14244,87679
96,15474,95021
97,16618,102631
98,17949,111179
99,19351,119857
100,21016,129879
101,22644,140018
102,24627,151908
103,26578,164211
104,28857,178127
105,31245,192319
106,34080,208312
107,36880,224908
108,39902,243955
109,43006,263277
110,46616,285322
111,50298,308109
112,54607,334149
113,58976,361288
114,64151,391717
115,69399,423895
116,75268,459514
117,81347,496833
118,88150,538360
119,95299,582472
120,103333,630621
121,111869,682726
122,121283,739548
123,131211,800828
124,142209,867136
125,153962,938555
126,166878,1016276
127,180684,1099880
128,195836,1191271
129,212276,1289542
130,230240,1396834
131,249295,1512490
132,270351,1639094
133,292775,1774833
134,317315,1923754
135,343804,2082990
136,371897,2257830
137,402657,2445234
138,436207,2649687
139,472426,2869837
140,511637,3108569
141,554253,3366580
142,600305,3646887
143,649496,3949149
144,703777,4278014
145,761698,4632805
146,826030,5017982
147,895325,5434681
148,969558,5887369
149,1050145,6375983
150,1137851,6905651
151,1231931,7478401
152,1335694,8100135
153,1445987,8773357
154,1567036,9504269
155,1697190,10294644
156,1838268,11150784
157,1990907,12078137
158,2156849,13082173
159,2336332,14171058
160,2529999,15350776
161,2740760,16628582
162,2969441,18009721
163,3217450,19508105
164,3484106,21132417
165,3774468,22890910
166,4089777,24793958
167,4430978,26857597
168,4797335,29092461
169,5196436,31515027
170,5628638,34133686
171,6096878,36972043
172,6603632,40048938
173,7154363,43380933
174,7749401,46990783
175,8394185,50901939
176,9092809,55139702
177,9849978,59729073
178,10671548,64700838
179,11563316,70084550
180,12525893,75916366
