Timestamp : 10|11_22:17
Mois,Lapins vivants,Lapins morts
1,4,0
2,5,6
3,5,6
4,7,15
5,7,15
6,9,24
7,7,26
8,9,36
9,9,36
10,8,44
11,8,44
12,12,50
13,11,51
14,12,62
15,12,66
16,14,86
17,14,89
18,14,106
19,13,112
20,17,129
21,15,131
22,19,149
23,19,149
24,24,175
25,23,176
26,28,199
27,28,203
28,37,227
29,38,231
30,44,259
31,41,273
32,48,311
33,49,328
34,51,364
35,56,379
36,59,416
37,72,435
38,80,471
39,86,512
40,92,562
41,96,591
42,107,651
43,115,700
44,127,803
45,135,881
46,142,960
47,154,1061
48,168,1141
49,182,1253
50,201,1335
51,217,1443
52,244,1538
53,276,1658
54,299,1751
55,329,1935
56,355,2051
57,396,2271
58,413,2432
59,456,2678
60,499,2877
61,554,3160
62,589,3439
63,653,3734
64,706,4032
65,777,4444
66,806,4804
67,879,5250
68,949,5666
69,1030,6183
70,1105,6650
71,1204,7295
72,1285,7855
73,1379,8582
74,1465,9262
75,1621,10070
76,1735,10824
77,1901,11811
78,2085,12709
79,2300,13884
80,2460,14949
81,2672,16345
82,2902,17651
83,3160,19202
84,3374,20713
85,3690,22480
86,3985,24404
87,4318,26427
88,4641,28647
89,5068,30962
90,5547,33600
91,5996,36357
92,6527,39543
93,7058,42717
94,7649,46304
95,8268,50036
96,8960,54323
97,9724,58646
98,10598,63634
99,11450,68798
100,12429,74729
101,13387,80777
102,14574,87712
103,15689,94801
104,17089,103037
105,18395,111284
106,20019,120882
107,21616,130565
108,23573,141638
109,25421,153152
110,27613,166141
111,29782,179751
112,32301,194971
113,34877,211282
114,37803,229228
115,40969,248251
116,44417,269370
117,48044,291717
118,52079,316298
119,56411,342583
120,61070,371115
121,66102,402038
122,71653,435577
123,77431,471560
124,83978,510624
125,90892,553095
126,98508,599200
127,106712,649021
128,115444,703075
129,125109,761944
130,135425,825106
131,146769,894081
132,159205,967716
133,172553,1048882
134,186967,1135898
135,203000,1231130
136,219708,1333471
137,238445,1445376
138,258387,1564720
139,280456,1696304
140,303376,1837519
141,328816,1992368
142,356010,2157469
143,386006,2338072
144,417881,2532466
145,453012,2744501
146,490380,2972535
147,531676,3221154
148,575577,3488559
149,623839,3779972
150,675048,4094098
151,731541,4435243
152,792627,4803812
153,858547,5204557
154,930348,5637171
155,1008421,6106480
156,1092055,6614212
157,1183173,7166593
158,1281646,7763446
159,1389200,8411167
160,1503613,9110613
161,1628961,9870587
162,1764131,10692796
163,1911373,11583919
164,2069971,12547603
165,2241453,13595254
166,2427751,14725772
167,2630879,15953979
168,2850366,17279716
169,3089007,18722925
170,3346041,20279535
171,3624386,21971818
172,3927041,23799461
173,4254760,25780140
174,4606947,27927273
175,4989564,30255271
176,5404882,32774644
177,5855492,35503504
178,6342423,38461887
179,6871051,41665077
180,7443527,45139893
181,8063780,48896060
182,8736338,52965180
183,9462239,57371075
184,10249355,62148508
185,11099846,67314902
186,12022465,72922132
187,13025820,78988615
188,14109191,85567873
189,15283816,92684404
190,16558819,100396682
191,17936777,108747974
192,19430799,117801616
