Timestamp : 12|11_08:58
Mois,Lapins vivants,Lapins morts
1,4,0
2,4,8
3,4,8
4,8,13
5,8,13
6,13,17
7,12,18
8,12,27
9,11,28
10,11,32
11,11,32
12,17,39
13,15,41
14,20,57
15,19,58
16,24,72
17,23,73
18,28,83
19,33,89
20,35,124
21,36,135
22,42,168
23,44,180
24,47,205
25,48,227
26,49,249
27,57,277
28,65,311
29,69,344
30,76,388
31,87,424
32,89,473
33,93,511
34,104,589
35,121,632
36,132,693
37,141,749
38,158,824
39,167,902
40,176,1002
41,193,1106
42,213,1206
43,232,1318
44,254,1427
45,276,1560
46,293,1696
47,316,1852
48,342,2015
49,384,2212
50,411,2400
51,439,2611
52,475,2841
53,505,3102
54,539,3346
55,607,3632
56,646,3923
57,688,4248
58,751,4579
59,816,4922
60,887,5341
61,952,5764
62,1045,6278
63,1122,6809
64,1233,7457
65,1343,8116
66,1447,8813
67,1579,9529
68,1731,10329
69,1880,11187
70,2060,12090
71,2238,13112
72,2410,14193
73,2604,15473
74,2855,16738
75,3118,18187
76,3353,19751
77,3656,21477
78,3979,23267
79,4334,25285
80,4705,27417
81,5129,29799
82,5532,32362
83,5993,35158
84,6482,38159
85,6983,41412
86,7565,44909
87,8200,48771
88,8958,52976
89,9670,57506
90,10449,62430
91,11284,67749
92,12243,73324
93,13254,79466
94,14389,85926
95,15506,93304
96,16789,101169
97,18120,109443
98,19675,118546
99,21304,128305
100,23036,139094
101,24975,150489
102,27072,163010
103,29210,176260
104,31717,191246
105,34183,206969
106,37110,224330
107,40155,242734
108,43561,263336
109,47037,285093
110,51039,308864
111,55265,333967
112,59994,361945
113,64729,391581
114,70166,424398
115,75903,459189
116,82251,498160
117,88991,539383
118,96483,584657
119,104570,632765
120,113321,685093
121,122708,742115
122,132968,803607
123,143838,870843
124,155922,942918
125,168775,1021726
126,182723,1106793
127,198219,1199332
128,214624,1298840
129,232600,1408353
130,251979,1525254
131,273117,1652992
132,295829,1790121
133,320545,1940139
134,346923,2101147
135,375744,2277316
136,406398,2465832
137,440538,2672577
138,476970,2894211
139,517240,3136856
140,560217,3396827
141,607619,3680959
142,657447,3986093
143,712283,4318646
144,771365,4675895
145,835706,5065278
146,904806,5485810
147,980454,5943431
148,1061856,6437144
149,1150688,6975591
150,1246758,7554283
151,1350828,8184998
152,1463453,8866015
153,1585730,9603403
154,1717504,10402211
155,1860394,11268697
156,2015791,12206785
157,2184037,13224178
158,2365945,14325189
159,2563206,15520380
160,2776583,16813496
161,3006624,18215913
162,3257311,19732841
163,3527781,21377346
164,3822811,23162436
165,4140897,25090501
166,4486040,27186307
167,4858191,29450993
168,5263411,31905162
169,5699926,34560486
170,6176507,374
